Model,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Entry_Probability,Exit_Probability,Gross_Return,Winning_Trade
Logistic,2023-03-22,2023-05-10,3130.800048828125,3286.800048828125,0.5121557216061321,0.4846867622559752,0.04982751934553975,1
Logistic,2023-07-14,2023-09-12,3514.64990234375,3580.800048828125,0.550095192867972,0.4911130945192632,0.01882126195279432,1
Logistic,2023-09-13,2023-10-11,3567.85009765625,3609.89990234375,0.5246769848506101,0.4085423552212782,0.011785754316057995,1
Logistic,2023-11-09,2023-12-06,3347.449951171875,3604.10009765625,0.5455316062453559,0.3643496325823803,0.0766703461524576,1
Logistic,2024-04-19,2024-04-30,3826.199951171875,3820.64990234375,0.609185244150646,0.4761079142663599,-0.0014505381054183974,0
Logistic,2024-05-15,2024-05-23,3880.39990234375,3893.449951171875,0.5405403519884783,0.4715223887290609,0.0033630680230258836,1
Logistic,2024-05-27,2024-08-05,3847.050048828125,4155.0498046875,0.504502559911149,0.1553073661763245,0.0800612812285082,1
Logistic,2024-08-29,2024-09-12,4511.7998046875,4517.7001953125,0.7890871948022893,0.4348352666465725,0.0013077687132461158,1
Logistic,2024-09-13,2024-10-07,4522.60009765625,4272.85009765625,0.8137652359529702,0.4829405519810245,-0.05522265833970774,0
Logistic,2024-10-10,2024-11-25,4227.39990234375,4315.10009765625,0.7912287657548432,0.2552044267978277,0.020745658640876963,1
Logistic,2025-01-17,2025-01-23,4124.2998046875,4145.4501953125,0.577913314452243,0.4358203194828221,0.005128237913490485,1
Logistic,2025-02-10,2025-03-04,4036.949951171875,3532.050048828125,0.6062546417158725,0.4758393185441953,-0.12506964625538253,0
Logistic,2025-03-10,2025-04-25,3589.64990234375,3448.0,0.5044645278515293,0.4874860190413001,-0.03946064552179984,0
Logistic,2025-04-29,2025-05-12,3472.5,3620.39990234375,0.5083135351961808,0.324372879676701,0.042591764533837395,1
Logistic,2025-06-20,2025-07-15,3435.699951171875,3252.300048828125,0.5798112073009235,0.4943491237488235,-0.053380651672214396,0
Logistic,2025-07-16,2025-07-25,3233.10009765625,3135.800048828125,0.5188867095039338,0.4803191029562792,-0.030094969499601998,0
Logistic,2025-07-28,2025-09-24,3079.300048828125,3035.39990234375,0.550592836554388,0.4736805816286104,-0.01425653420850681,0
Logistic,2025-09-26,2025-09-30,2899.10009765625,2888.39990234375,0.5509998548325579,0.4807223265602793,-0.0036908678390065175,0
Logistic,2025-10-01,2025-10-03,2914.199951171875,2901.89990234375,0.50918553617847,0.4856292596342362,-0.004220729199854278,0
Logistic,2025-10-09,2026-01-30,3061.699951171875,3123.89990234375,0.5204177612670959,0.4865728426356692,0.020315495366574954,1
XGBoost,2023-03-01,2023-03-02,3385.699951171875,3321.449951171875,0.5300629138946533,0.440104991197586,-0.018976873593822607,0
XGBoost,2023-03-06,2023-03-09,3371.85009765625,3336.85009765625,0.5566051006317139,0.3203698992729187,-0.010380058124270786,0
XGBoost,2023-03-21,2023-04-10,3106.10009765625,3263.39990234375,0.8460187315940857,0.3481518030166626,0.050642220064379906,1
XGBoost,2023-04-11,2023-07-07,3213.800048828125,3329.25,0.5909472107887268,0.4155243933200836,0.035923190434318464,1
XGBoost,2023-07-11,2023-07-13,3272.39990234375,3340.550048828125,0.5134650468826294,0.4305994212627411,0.020825739065559956,1
XGBoost,2023-07-21,2023-07-31,3368.300048828125,3421.449951171875,0.5669122338294983,0.4597566127777099,0.01577944410333676,1
XGBoost,2023-08-03,2023-08-04,3399.949951171875,3443.550048828125,0.51353520154953,0.3082521259784698,0.012823746902868915,1
XGBoost,2023-09-11,2023-09-12,3480.64990234375,3580.800048828125,0.5365306735038757,0.3215006291866302,0.02877340419010177,1
XGBoost,2023-09-18,2023-10-19,3606.14990234375,3455.64990234375,0.5405968427658081,0.3770579397678375,-0.041734260659043954,0
XGBoost,2023-11-29,2023-12-06,3513.75,3604.10009765625,0.7758294939994812,0.1137611120939254,0.025713297091782383,1
XGBoost,2023-12-15,2023-12-19,3861.0,3816.199951171875,0.7482826113700867,0.4205552041530609,-0.01160322424970861,0
XGBoost,2024-03-26,2024-04-01,3877.5,3916.75,0.6045350432395935,0.4683361053466797,0.010122501611863344,1
XGBoost,2024-04-02,2024-04-03,3883.800048828125,3947.300048828125,0.6368498802185059,0.4386820495128631,0.01634996632207164,1
XGBoost,2024-04-16,2024-05-06,3872.800048828125,3921.050048828125,0.6795939207077026,0.3915858268737793,0.012458686064776403,1
XGBoost,2024-05-17,2024-05-23,3834.10009765625,3893.449951171875,0.5577951073646545,0.3188414573669433,0.015479474193150322,1
XGBoost,2024-05-24,2024-06-04,3849.5,3715.0,0.6009922027587891,0.2884446680545807,-0.03493960254578521,0
XGBoost,2024-10-03,2024-10-07,4232.75,4272.85009765625,0.6041865348815918,0.3540689051151275,0.009473769453960168,1
XGBoost,2024-10-08,2024-10-09,4253.25,4252.9501953125,0.58246910572052,0.2640060484409332,-7.048837653556017e-05,0
XGBoost,2024-10-11,2024-11-25,4149.2001953125,4315.10009765625,0.7608885765075684,0.4009934365749359,0.039983585880279504,1
XGBoost,2024-12-20,2025-01-01,4170.2998046875,4112.4501953125,0.568117082118988,0.3396520018577575,-0.013871810681327035,0
XGBoost,2025-01-06,2025-01-08,4095.0,4108.39990234375,0.6027769446372986,0.4721475541591644,0.0032722594246030745,1
XGBoost,2025-01-09,2025-01-22,4038.85009765625,4156.60009765625,0.5819497108459473,0.4914069771766662,0.02915433778251164,1
XGBoost,2025-01-27,2025-04-23,4065.14990234375,3413.0,0.5639668703079224,0.3339495956897735,-0.1604245644097294,0
XGBoost,2025-07-09,2026-02-05,3383.800048828125,2991.5,0.5903850197792053,0.4957831799983978,-0.11593476067357644,0
XGBoost,2026-02-06,2026-04-30,2941.60009765625,2473.89990234375,0.5736830234527588,0.4491945803165436,-0.15899516582323514,0
