Feature_Set,Model,Features,Train_AUC,Validation_AUC,Test_AUC,Validation_Balanced_Accuracy,Test_Balanced_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
Base_Volatility,Logistic,27,0.600211115175904,0.5718667171525936,0.46987764009040606,0.5239492616433169,0.4917192736341673,0.38337801608579086,0.2397003745318352,0.7032967032967034,0.3575418994413408
Base_Trend,Logistic,38,0.6048602219376866,0.5645588792124194,0.48028212921829944,0.5265997728133283,0.4759956355701037,0.5227882037533512,0.2229299363057325,0.38461538461538464,0.28225806451612906
Base,Logistic,12,0.5443075117370891,0.5642180992048466,0.4612267165458655,0.5247254827716774,0.4673057439014886,0.5040214477211796,0.21686746987951808,0.3956043956043956,0.2801556420233463
Technical_Core,Logistic,70,0.653169014084507,0.5626277925028399,0.46368170836255945,0.5491291177584248,0.47543059777102326,0.4262734584450402,0.2290748898678414,0.5714285714285714,0.3270440251572327
Technical_News,XGBoost,120,0.9669799097616,0.5600530102234003,0.4969604863221885,0.49447179098826205,0.5229911932039591,0.6219839142091153,0.2727272727272727,0.32967032967032966,0.29850746268656714
Base_Volume,Logistic,19,0.5531484360709713,0.5594093146535404,0.49302470579066326,0.5135365391897009,0.4955186657314317,0.6085790884718498,0.23809523809523808,0.27472527472527475,0.25510204081632654
Base_Volatility,XGBoost,27,0.9250922199865862,0.5459295721317683,0.49793468942405106,0.4816168118137069,0.4726833450237706,0.6809651474530831,0.15,0.06593406593406594,0.0916030534351145
Technical_Core,XGBoost,70,0.9540233827205657,0.5436577054146157,0.4982464344166472,0.501533510034078,0.5155482815057284,0.6219839142091153,0.2641509433962264,0.3076923076923077,0.28426395939086296
Technical_No_Volume,XGBoost,89,0.9658595512468753,0.5422945853843242,0.4879978177850518,0.4962703521393412,0.5238874600576728,0.6514745308310992,0.2808988764044944,0.27472527472527475,0.2777777777777778
Base_Trend,XGBoost,38,0.9186101457228217,0.5409693297993184,0.49033590522952225,0.5,0.48137323669238563,0.6997319034852547,0.16129032258064516,0.054945054945054944,0.08196721311475409
Base_PriceStructure,XGBoost,31,0.9280836534357662,0.5372964786065884,0.46882550074039436,0.5,0.5049489517574623,0.7184986595174263,0.26666666666666666,0.08791208791208792,0.1322314049586777
Base_Volume,XGBoost,19,0.8972166331321261,0.5340401363120031,0.499610318759255,0.4980689132904203,0.49662925726755514,0.7453083109919572,0.16666666666666666,0.01098901098901099,0.020618556701030927
Technical_News,Logistic,120,0.6897788244619231,0.5250662627792503,0.4836723560127816,0.548182506626278,0.4594536669004754,0.34584450402144773,0.22382671480144403,0.6813186813186813,0.33695652173913043
Base,XGBoost,12,0.8606068227547101,0.5226429382809542,0.4924401839295457,0.4856115107913669,0.4913101083313849,0.7372654155495979,0.1111111111111111,0.01098901098901099,0.02
Technical_No_Volume,Logistic,89,0.6884564965550881,0.5193108670957971,0.4835944197646326,0.548447557743279,0.461421557166238,0.39946380697050937,0.2217573221757322,0.5824175824175825,0.3212121212121212
Base_Momentum,Logistic,29,0.5983933906469117,0.518742900416509,0.4501597693087055,0.5321279818250663,0.48304886602758945,0.42091152815013405,0.23404255319148937,0.6043956043956044,0.3374233128834356
Base_PriceStructure,Logistic,31,0.6346564233888179,0.5068534645967436,0.49275192892214176,0.4738356683074593,0.4929857376665887,0.4584450402144772,0.23943661971830985,0.5604395604395604,0.3355263157894737
Base_Momentum,XGBoost,29,0.9284609170172551,0.4941310109806892,0.4574857766347128,0.48547898523286637,0.4893422180656223,0.6836461126005362,0.2127659574468085,0.10989010989010989,0.14492753623188406
