Feature,Data_Type,Unique_Values,Missing_Rate,Constant_Rate,Full_Sample_AUC,Mean_Period_AUC,Median_Period_AUC,Std_Period_AUC,Min_Period_AUC,Max_Period_AUC,Periods_AUC_GE_0.55,Stability_Score,Target_Correlation,Leakage_Name_Flag,Classification
Trend_20_50,float64,1863,0.0,0.0005367686527106817,0.5115864691984096,0.5357155282483514,0.5177317213586643,0.033382729048770876,0.502783311848119,0.5936332866479925,2,0.34617074846902035,-0.013997395319254737,False,REVIEW
Close_vs_SMA200,float64,1863,0.0,0.0005367686527106817,0.5095003745750015,0.5453624616903234,0.5464847363552267,0.012358017000615062,0.5244052502050862,0.5632124352331607,1,0.3352708382609859,0.016394464988269727,False,REVIEW
EMA_50_200,float64,1863,0.0,0.0005367686527106817,0.5193027142280874,0.5410763957214096,0.5403796376186367,0.010748894087762832,0.5254013828665182,0.5569206753006476,1,0.3189311358417574,0.030178797188933387,False,REVIEW
EMA_20_50,float64,1863,0.0,0.0005367686527106817,0.5012113179277359,0.5405057840588461,0.5424503882657463,0.021749623497519483,0.5107523731395758,0.5760387488328664,1,0.31114832448662477,-0.0018238714294058376,False,REVIEW
SMA_50,float64,1862,0.0,0.0010735373054213634,0.5193741716129776,0.5361245534169753,0.5329016758467127,0.012396901177817225,0.5201914098972922,0.5564766839378239,1,0.29829976307899275,-0.03366700264933076,False,REVIEW
Volume,int64,1859,0.0,0.0026838432635534087,0.5199089494611883,0.5348800215943378,0.5259103641456583,0.024286643371718257,0.5034571662955585,0.5743523316062176,1,0.28737676469149154,0.025185804051831302,False,REVIEW
Rolling_Low_20,float64,466,0.0,0.01288244766505636,0.5223863308937935,0.5339238624800229,0.5343226297902262,0.019673784564772957,0.5007878151260504,0.5616192119643371,1,0.28585855763770507,-0.033832839435333883,False,REVIEW
MACD_Signal,float64,1863,0.0,0.0005367686527106817,0.5024237883939376,0.5333485394556586,0.5382226056945643,0.02053827072200002,0.5102624884366327,0.5668183940242764,1,0.28312502246163446,-0.002198082418656272,False,REVIEW
Volume_SMA_20,float64,1863,0.0,0.0005367686527106817,0.5042574770932979,0.5323893941925286,0.5291018998272884,0.015034937476635668,0.5111875578168362,0.555030345471522,1,0.2820401080317968,0.001181672094044928,False,REVIEW
Trend_10_50,float64,1863,0.0,0.0005367686527106817,0.5070085864115714,0.5332505080956607,0.5391767415083477,0.023393305968799093,0.5060060939880464,0.5683940242763772,1,0.28130537939824324,-0.010927256908527293,False,REVIEW
Momentum_60,float64,1863,0.0,0.0005367686527106817,0.5006362012332162,0.5325837556638744,0.5307448950244464,0.020961957669220238,0.5113031914893618,0.5703197945845004,1,0.27985404382088763,-0.005154380767951146,False,REVIEW
Return_60,float64,1863,0.0,0.0005367686527106817,0.5012597245433066,0.5324900020016219,0.5307448950244464,0.021041157473796434,0.5113031914893618,0.5703197945845004,1,0.2794394292695897,-0.0038751510568401713,False,REVIEW
Breakdown_Distance_20,float64,1853,0.0,0.0010735373054213634,0.5021788739699187,0.5274866922866728,0.52104532839963,0.01406965782582641,0.511656746031746,0.5506332757628094,1,0.2629119402337782,-0.019871902900901676,False,REVIEW
MACD_Positive,int64,2,0.0,0.5195920558239399,0.513288192243416,0.528064164403908,0.523324705205637,0.027565311323809395,0.5013184108754248,0.5786064425770309,1,0.2584740019537275,0.026596163091300033,False,REVIEW
Return_Std_20,float64,1862,0.0,0.0010735373054213634,0.5060364202155248,0.5271169701760792,0.5136036813344838,0.02179615194205928,0.5118803468885503,0.568656629318394,1,0.25756980473328706,-0.001056017031748746,False,REVIEW
Volatility_20,float64,1863,0.0,0.0005367686527106817,0.5054180833285311,0.5267273065173426,0.5136036813344838,0.022080622892099683,0.509932028594867,0.568656629318394,1,0.2558689146233201,-0.00016553612858266384,False,REVIEW
Volatility_20_Pct,float64,1863,0.0,0.0005367686527106817,0.5054180833285311,0.5267273065173426,0.5136036813344838,0.022080622892099683,0.509932028594867,0.568656629318394,1,0.2558689146233201,-0.00016553612858255133,False,REVIEW
Volume_Ratio,float64,1859,0.0,0.0026838432635534087,0.5238356480147525,0.5243091879008057,0.5138597105508871,0.019877732284964006,0.5052919183203911,0.5531088082901554,1,0.24729788546074083,0.024730074980750104,False,REVIEW
Body_to_Range,float64,1852,0.0,0.005367686527106817,0.5221719587391229,0.5244146511162786,0.5168536094334195,0.026806301573404464,0.5013529073114565,0.5759697644439236,1,0.2442554536784126,0.03691257522253734,False,REVIEW
Volume_SMA_5,float64,1863,0.0,0.0005367686527106817,0.507549126952112,0.5238811942566043,0.5177739430543572,0.02343877356245762,0.5010547287003397,0.563126079447323,1,0.2438053902451886,0.005172552433520933,False,REVIEW
Vol_Ratio_5_20,float64,1863,0.0,0.0005367686527106817,0.5178193972223823,0.5226980317082276,0.5154576856649395,0.016914408413413597,0.5015610545790934,0.5507119514472455,1,0.24233492262620376,0.027727311424153255,False,REVIEW
