Feature,Full_Sample_AUC,Mean_Period_AUC,Median_Period_AUC,Std_Period_AUC,Stability_Score,Missing_Rate,Constant_Rate
Breakdown_Distance_50,0.5087010891488504,0.5514139530701945,0.5566770186335404,0.023480267173160606,0.473915678694198,0.0,0.001610305958132045
Close,0.5244632052094738,0.5495920885872118,0.5521507863089732,0.024959710470423998,0.4658884991136353,0.0,0.001610305958132045
Low,0.5252722872125857,0.5492115518255601,0.5512690795559667,0.02364534979012021,0.4650235324071801,0.0,0.0021470746108427268
Price_vs_EMA200,0.5090497320348066,0.547117618098429,0.5542425303454716,0.013671517344681463,0.4616347137213751,0.0,0.0005367686527106817
News_Count_MA10,0.5269936034115139,0.5417605281186182,0.5417605281186182,0.00858811831288292,0.41274805331803155,0.0,0.7450348899624262
EMA_5,0.5246101538638852,0.5491831172005102,0.5489997687326549,0.02434178446566447,0.40456157656920877,0.0,0.0005367686527106817
Open,0.5250832709041664,0.5481065670573514,0.5470484505087881,0.023606421962228244,0.40062305724829156,0.0,0.003757380568974772
Rolling_High_20,0.5266518757563533,0.5470829944214962,0.545516304347826,0.016574121843855538,0.40004491676405707,0.0,0.011272141706924315
EMA_10,0.5243220192473923,0.547654291742526,0.5470339962997225,0.022825314219918548,0.39920450986014483,0.0,0.0005367686527106817
High,0.5241502910159628,0.5472534029853011,0.5494912118408881,0.023679386065395356,0.3971739189085068,0.0,0.0021470746108427268
SMA_5,0.5240759522849076,0.5471714190583807,0.5472219010175763,0.023636836712776776,0.3968672578771351,0.0,0.0010735373054213634
Price_Position_50,0.5112481991586468,0.5451310125324844,0.5385737628384687,0.014953627039081487,0.39304723661039676,0.0,0.0010735373054213634
SMA_10,0.5236996484757679,0.5452006995908116,0.5434493524514338,0.02068904658593947,0.39045827507027664,0.0,0.0010735373054213634
EMA_20,0.5236593096294588,0.5446487162593475,0.5446056891766882,0.021226247119088805,0.387981741477846,0.0,0.0005367686527106817
EMA_50,0.5225563303175242,0.5409064362856671,0.5446345975948196,0.02068029140354054,0.37328559944089834,0.0,0.0005367686527106817
SMA_20,0.5235843946291707,0.5404004726744956,0.5417726641998151,0.01793004209595954,0.3726368696500029,0.0,0.0010735373054213634
Breakout_Distance_50,0.518236039877831,0.5381670354858096,0.5254683163737279,0.02185358594737831,0.36174134896954924,0.0,0.0010735373054213634
Close_vs_SMA50,0.5090520371117386,0.5358830737665433,0.5415371329879102,0.016067492766531355,0.3554985486829075,0.0,0.0005367686527106817
Distance_SMA50,0.5090520371117386,0.5358830737665433,0.5415371329879102,0.016067492766531355,0.3554985486829075,0.0,0.0005367686527106817
Return_Kurtosis_60,0.5058007260992335,0.5361512717595271,0.5249352890422778,0.020910345617208212,0.35414991422950437,0.0,0.0005367686527106817
