Metric,Value
Input_Feature_Rows,1863.0
Input_Feature_Columns,128.0
Target_Rows,1923.0
Merged_Rows,1863.0
Candidate_Numeric_Features,126.0
Safe_Features,20.0
Review_Features,106.0
Remove_Features,0.0
Potential_Leakage_Name_Features,0.0
High_Missingness_Features,0.0
Near_Constant_Features,0.0
Mean_Stability_Score,0.22552182605944054
Median_Stability_Score,0.18664277497703927
Best_Stability_Score,0.473915678694198
Worst_Stability_Score,0.12332554013535481
Mean_Period_AUC,0.5247289644502258
Median_Period_AUC,0.5220022962476525
