Fold,Model,Train_Rows,Test_Rows,Test_Start,Test_End,News_Coverage,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Strategy_Return,Max_Drawdown,Sharpe
1,Logistic_Technical,365,60,2025-06-26,2025-09-19,0.25,0.6166666666666667,0.4868421052631579,0.0,0.0,0.0,0.5633971291866029,0.07130907520138918,-0.06504658844504718,1.8232372224261186
1,RandomForest_Technical,365,60,2025-06-26,2025-09-19,0.25,0.4,0.5263157894736842,0.3793103448275862,1.0,0.55,0.4940191387559809,-0.07882817287672961,-0.13258232235701917,-1.9877075462901372
1,XGBoost_Technical,365,60,2025-06-26,2025-09-19,0.25,0.48333333333333334,0.48684210526315785,0.3548387096774194,0.5,0.41509433962264153,0.4784688995215311,-0.02898695399213036,-0.08360112869102221,-0.6527931760243466
1,Logistic_Tech_News,365,60,2025-06-26,2025-09-19,0.25,0.6166666666666667,0.4868421052631579,0.0,0.0,0.0,0.5753588516746411,0.07130907520138918,-0.06504658844504718,1.8232372224261186
1,RandomForest_Tech_News,365,60,2025-06-26,2025-09-19,0.25,0.4,0.507177033492823,0.37037037037037035,0.9090909090909091,0.5263157894736842,0.534688995215311,0.02033678376262449,-0.0766534591167114,0.5894233137438908
1,XGBoost_Tech_News,365,60,2025-06-26,2025-09-19,0.25,0.4666666666666667,0.46411483253588515,0.3333333333333333,0.45454545454545453,0.38461538461538464,0.49521531100478466,-0.011998046538036378,-0.059138988330187714,-0.21771109697361002
2,Logistic_Technical,425,60,2025-09-22,2025-12-17,0.45,0.5333333333333333,0.5200892857142857,0.5,0.32142857142857145,0.391304347826087,0.5245535714285715,0.11191266032758618,-0.0686482240853512,2.758486039938155
2,RandomForest_Technical,425,60,2025-09-22,2025-12-17,0.45,0.5166666666666667,0.53125,0.4883720930232558,0.75,0.5915492957746479,0.4609375,0.13367984692922597,-0.03311882416986667,3.265316512509513
2,XGBoost_Technical,425,60,2025-09-22,2025-12-17,0.45,0.5666666666666667,0.5647321428571428,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.45982142857142855,0.22357169345629035,-0.024238457652166367,5.37538969233796
2,Logistic_Tech_News,425,60,2025-09-22,2025-12-17,0.45,0.5166666666666667,0.49776785714285715,0.46153846153846156,0.21428571428571427,0.2926829268292683,0.5133928571428572,0.04629765598529412,-0.06670983494862881,1.2126387093907698
2,RandomForest_Tech_News,425,60,2025-09-22,2025-12-17,0.45,0.55,0.5424107142857143,0.5217391304347826,0.42857142857142855,0.47058823529411764,0.4743303571428572,0.14371536846783006,-0.04985573438480739,3.499120242138876
2,XGBoost_Tech_News,425,60,2025-09-22,2025-12-17,0.45,0.5,0.4888392857142857,0.45,0.32142857142857145,0.375,0.4799107142857143,0.06492546949533406,-0.05852044757299346,1.6552320894603185
3,Logistic_Technical,485,60,2025-12-18,2026-03-17,0.3,0.4666666666666667,0.52,0.42857142857142855,0.84,0.5675675675675675,0.3657142857142857,-0.19969140841903465,-0.258456604048088,-3.4808312718485728
3,RandomForest_Technical,485,60,2025-12-18,2026-03-17,0.3,0.43333333333333335,0.49714285714285716,0.41509433962264153,0.88,0.5641025641025641,0.4262857142857142,-0.26269738743885196,-0.28558022495470115,-4.922996017379382
3,XGBoost_Technical,485,60,2025-12-18,2026-03-17,0.3,0.5166666666666667,0.5342857142857143,0.4444444444444444,0.64,0.5245901639344263,0.5257142857142858,-0.11610844056694591,-0.21618706058846882,-1.8345469765633413
3,Logistic_Tech_News,485,60,2025-12-18,2026-03-17,0.3,0.43333333333333335,0.48571428571428577,0.40816326530612246,0.8,0.5405405405405406,0.3657142857142857,-0.22400029927802123,-0.2779492156898562,-4.0122388934585365
3,RandomForest_Tech_News,485,60,2025-12-18,2026-03-17,0.3,0.4166666666666667,0.45999999999999996,0.391304347826087,0.72,0.5070422535211268,0.36342857142857143,-0.2468944037744446,-0.2695138239347943,-4.5404602160154255
3,XGBoost_Tech_News,485,60,2025-12-18,2026-03-17,0.3,0.43333333333333335,0.46285714285714286,0.3902439024390244,0.64,0.48484848484848486,0.44000000000000006,-0.21112455084775827,-0.24699843839478364,-3.7272413539432487
