Date,Headline,Source,URL
2026-08-24,TCS and Porsche AG Partner to Accelerate the Future of AI-Powered Mobility - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTHNfb0V1MnUxOER3aVZVWEhUVHdHazRpdjFrZGktY3IxWC1wbzBCZ3Bjd1pMQk1FNk1kWUwzOWJMM05NVURRUHFjUURNMENHLXdfWlZFRmc3bms5US03cFBrRzk0U3pMR2hSempVckJMakJSU0Q4N3Y0emlWVWFHcjlwMUlxeGFGR3dLdFluTzhXSGp3UlhJRVZmWjNTVGlWMl9FX0dVZUJpTzRZcExacjBScV9BU3Jx?oc=5
2026-09-02,TCS Q4 Results Preview: Will Tata Group's TCS Turnaround Its Net Profit In Q4? Dividend Announcement Ahead - Goodreturns,Goodreturns,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNbmRIeTVCaEJwcHVsV3dxWEV6TFI5UWRFNnVzXzNWdXJiV0s1d2VBTmxyWjNQRFJycWtVTmZVQ1NWeFpjQl9xMElGaEtOSFBLV0xWZFMtSWd4cTBLdS1EQW1lN01ySDFuSi1udHNkZnlXUV9oWGVSaDFWUDkya0M1VDJaeTJSeHU2Zk00S1V3MGd3RDQwZG9uT1dybC1CSmdLajhXMEdtVl9wN0lWRXZxOVd5bno3WTNraTVUSmR6ZjVLcWJyMTQyWXZwZXBxeUZ6aHBpcGNwRE4xQQ?oc=5
2026-09-02,"TCS beats Accenture to win Best Buy's India GCC mandate worth Rs 2,000 crore - Moneycontrol.com",Moneycontrol.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxQN0xOM2NRTGF1RU5OWDdNb1loZGx2OUVNM3YybVhBMmV1QUFLZXJwUlFiRHBDMHQxZlhZcFhqSGt5djRIUkVtWnp3azJuRDhkRklkRWxzRm96dXRtVTZRWTZXRHdvVUJYMWpycll3ODI1Zi1kZnNFZEpFZUpkNkNXeTVuRmlCMEZzRmJLbXA4VE16MnlhdDVfOTlyTklwSE5kX0NSZjlLdTJBb3RMYlJFOTA0V0s2YUJyN2JPVjBCeXl2Qy0zM2Vzc3ZvQ251UdIB0wFBVV95cUxNaDI4T3NrUF9rS2M0LTRqUFRBUUhjUnhxRWlGS2poYWN3Nmt3dF8yUTNNVVZWbHJ5a3VxSVR6dEU2MVFzbzVhRm9YUFZFWWtXYldFRVoxWHpxS2ExUlk4YjgtUmZuTU01b3FFQVpiQ1dRNDFEZlJHcHNGMmgyWWlJMkFicWpaQ2pBcmlrQms5MVA0anR6WF9JMGlQeVo4aEp4S1VKRFU5MFFIWktTTU5tQnNTYlRrWW5aNVBLX3hVamNSX2pBV1M3V0gwUFViSXduMDcw?oc=5
2026-09-01,Tata Consultancy spots promising model in Porsche - Breakingviews,Breakingviews,https://news.google.com/rss/articles/CBMisgFBVV95cUxQOGFrelVSYlFRUmI2cXl2bm5xOHVlc3hLY0hpdkRub0doRnFBcTBWZUZ0UEZVSnZCR2h6VldkTkV3R3ltQ18wNGhjWndIZVlyVV83WktRbjd1b2FRTFM4QkJaZFB1blpYT0ZhOTViTnNqNzAyNXVuUHpqZjQ5MmUyam84TzdRRVJKM3hZbEx6N0tpRThyMDE0OXpmcFVudzZRUC1kV1U2eUR3NFUxSlZjU1NB?oc=5
2026-08-31,Weekly Recap: TCS MHP acquisition and shares fall on broker risk - TradingView,TradingView,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOS3pqblMxRWRERm9oZGVjY2hvSnlUVm8zaUxUNHNzYWtUZWN5dVJYVU1EQjZqN3RzMGR5RVlDcW1uT0Z6ZmdoYTdBY05WaTQ4VFNTbHVrN0JtM0c3NXlzc2xuM19ma2swMkhVSVI4YzNQdGJBcDRCZW9mbVBURVFIdG5zR05ucVZfTUJWU0hDcGhkOFVZMHN3RERnekNJMkdXNk0ySnRNZm84ek9oeldscHVCcTNtQW9QWjduTDB4a1N6ck0?oc=5
2026-09-01,Kinshuk Gupta quits TCS as chief communications officer - afaqs!,afaqs!,https://news.google.com/rss/articles/CBMipAFBVV95cUxPUW9nZWpESHFMMnNnNWdCMk9EZG9kX09MMTk1QVFuX3hWREJUUTdKS2dERWF6eHJKTG4ycXJBWkczZ1Fwd1pZdDByb2ZidzJITnJ0NF9Ya0ZuUDRwenNrLWtNYm1talc0d0tlYktycDJBeWRXZVpGS3hVTExBQmhhZ25SVE9oNUF5a1FkX3F2M3ZmZGxnU1lSRzFGYnlhejcydjJEMg?oc=5
2026-08-10,"India's TCS flags alleged exposure of some employee data, says customer data not impacted - Reuters",Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxOVE5aa2J3QnllSUtjVVBrWGhuTmZYUVpkOHRHUVhtYUdlRG91MlIwMkxSbFowTlhEanRObzY1TnpRazRqc0steGRZUkhKejJLOWY4YXRIa18wbkpoajV1VXczdHNhUHItby1VNEdSSHgxME56WGx2eXV1dFhwMWluYUxwZjFNMURST1VNRjh1bENZZWkxLW16em9rSktpV1V1STdqU1dRX21OY040TmNPcGtQLUpNQU0?oc=5
2026-09-02,TCS to take over Best Buy India GCC: Inside the deal with US' largest consumer electronics retailer - India Today,India Today,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPVmpUb0JkYm40Z0JJYTdSbXFidERoWHJDT3BQUEFUd1UzVnY4MV91WnktZk5sTWxTdV9pUGFyeEluQ0pxUDdoT21uX1BPd1c5TUVoc1VRVHpLcTRpVHRMVzNJTzJjOS1nbEh6M1Y5UVpaWnVRSWc3NFJVMlgybmFwYUpLYjB3WG91bmZDdS1BbVJvM2VGM1I1ejFUUlE1R1I0UmcyLWctVkRhZENDWDFZMWRKQi1jUzVmdDJHT2JxUXF2dTVPOXFpU0FoeXlWbmVH?oc=5
2026-08-31,"Tata, TCS and Reliance dominate AI visibility; Maruti, LIC and SBI barely surface - bestmediainfo.com",bestmediainfo.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxPWlQ5UGU3al9oNkV1N1pOVW9IblNRSjgwX1RVNExHRldVR0wxVWFpaWZIdjliYlluM0x0a3JkWnExdU54c09iWk9hdmlNNTdBcDFndkkxazhVdWRCbjkyYVdrOGk0OEtpWHRhdnZmSTZZdm9neGF0eEp4OE9BRlZ0bHJETnp4UnNpZmxNc3ktNmlBNEVjdlZYV0ZYMVFEaDhCYmN4bG5tMmJGTlVHT2R0RklqU3luSU1kdTRuSWYwZ9IBvwFBVV95cUxPWlQ5UGU3al9oNkV1N1pOVW9IblNRSjgwX1RVNExHRldVR0wxVWFpaWZIdjliYlluM0x0a3JkWnExdU54c09iWk9hdmlNNTdBcDFndkkxazhVdWRCbjkyYVdrOGk0OEtpWHRhdnZmSTZZdm9neGF0eEp4OE9BRlZ0bHJETnp4UnNpZmxNc3ktNmlBNEVjdlZYV0ZYMVFEaDhCYmN4bG5tMmJGTlVHT2R0RklqU3luSU1kdTRuSWYwZw?oc=5
2026-07-22,TCS study reveals Physical AI is now mainstream as manufacturers scale AI implementation - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMi2gFBVV95cUxORlF1dUlxVWlMS1B6WHExaEdlX1RFM0VTbXhVdWtvZHFEUlM3VXFpR3N2cVF1T3BnRmxub0VXcHFzcDNGQ3N3S1RfZGNQZnNfeWFMLVZldU1RQVNsOXpyZ2tJWjA2NGlkV05yT2ZTbmJYWE9CTVdsWUdOc0lnd04yU25MUDJnQjJORFpleWhVSlhia1p1ZFZNUWVVSnlZaGM1dUdNbkhFZzFld0xrb1ZBczNuMXN2UU1ZbU5sVzRMa1JUdS1DbnFvbjJMd3NIdlVWa04xWUtQbHZHQQ?oc=5
