Price,Close,High,Low,Open,Volume,Date,News_Sentiment,News_Count,Has_News
2018-01-01,1322.800048828125,1347.4000244140625,1317.5,1341.1500244140625,1351760,2018-01-01,0.0,0.0,False
2018-01-02,1315.5999755859375,1334.800048828125,1310.0999755859375,1330.0,1920290,2018-01-02,0.0,0.0,False
2018-01-03,1319.324951171875,1334.5,1315.5999755859375,1316.0,1257120,2018-01-03,0.0,0.0,False
2018-01-04,1328.550048828125,1331.0,1320.0,1325.0,913082,2018-01-04,0.0,0.0,False
2018-01-05,1344.5999755859375,1349.75,1325.0,1325.0,1153706,2018-01-05,0.0,0.0,False
2018-01-08,1357.199951171875,1363.425048828125,1340.925048828125,1350.0,1242220,2018-01-08,0.0,0.0,False
2018-01-09,1354.5,1360.5,1338.2750244140625,1357.5,2149396,2018-01-09,0.0,0.0,False
2018-01-10,1403.300048828125,1408.0,1347.324951171875,1355.5,3365850,2018-01-10,0.0,0.0,False
2018-01-11,1395.25,1410.949951171875,1391.0999755859375,1405.0,2520744,2018-01-11,0.0,0.0,False
2018-01-12,1388.175048828125,1402.5,1370.2750244140625,1402.5,3360314,2018-01-12,0.0,0.0,False
2018-01-15,1373.050048828125,1404.0,1367.5250244140625,1388.574951171875,1457214,2018-01-15,0.0,0.0,False
2018-01-16,1425.425048828125,1430.824951171875,1375.2750244140625,1378.0,4267752,2018-01-16,0.0,0.0,False
2018-01-17,1444.4749755859375,1462.5,1431.074951171875,1435.0,4280806,2018-01-17,0.0,0.0,False
2018-01-18,1459.0999755859375,1466.5,1434.0250244140625,1448.5,2209478,2018-01-18,0.0,0.0,False
2018-01-19,1479.6500244140625,1491.0,1451.824951171875,1465.2750244140625,1820000,2018-01-19,0.0,0.0,False
2018-01-22,1558.199951171875,1567.3499755859375,1461.0,1480.5,4367110,2018-01-22,0.0,0.0,False
2018-01-23,1551.0,1571.175048828125,1545.0250244140625,1557.4749755859375,3239610,2018-01-23,0.0,0.0,False
2018-01-24,1587.300048828125,1629.5250244140625,1541.324951171875,1545.0,5621538,2018-01-24,0.0,0.0,False
2018-01-25,1560.5250244140625,1589.9000244140625,1540.5,1587.5,3833844,2018-01-25,0.0,0.0,False
2018-01-29,1599.425048828125,1612.5,1561.0,1565.699951171875,3141060,2018-01-29,0.0,0.0,False
