Date,Headline,Source,URL,Sentiment,Sentiment_Score
2024-01-15,TCS Positioned a Leader in ACES Automotive Engineering Services by Everest Group - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMi0gFBVV95cUxNV2lzZi10Nkt4ZmNkTHRXZmJaOERQNFZQNDExWmszU1pYS3RuWGRGY3JIcnN3a1pmYUtVY01XTTh0OGtuanpsci1RaWNYaGE0MEt3aDl0X0VNQ05pUWRVUVlYbTFLQUsxWThoSUdQMVJfR2NtSVpERjdlN0o1eUhyR3c5THh3b3FBYWJCVGI5czVkenVXQ1VLcjVQQWstQWg1WE5jcHBMYmp0NlpPdm5RSXlsN3oxczVnMlR5VnpmcTBMd3ZIdVRHa0xhZEY0N3VDYmc?oc=5,positive,0.7134718298912048
2024-04-15,Tata Consultancy Services plans to double team in Londrina - consultancy.lat,consultancy.lat,https://news.google.com/rss/articles/CBMinAFBVV95cUxQdzZrSm1RY3Zwb3l4NFU3Y0NKeURDV25zUlp6QjFJNW5CMk1wQk1nc0Vadk85d25DampfSmVKd1VIazJsUkJBVjB3WTB4c195TEp4UlNjcVI0RE5yM01NSHZQLWt6ZXF2MzNib0V5MktSeU9RUkVvS1VkZWllSXNyYWhncmxHdjVaLUdZemZJMHFBV3RPOGc2ZE92bFHSAaIBQVVfeXFMTmFUM1NpY05xUHp1U0hoUXk0ZnFfY2ZKYmdINENDLVl6YW1BWUl3bVZ2SENUd2gteFlFYTZIVnZ3RXE3ZmtVSlVjMEZpd3JlME1ZMHNUZ0NJY1JQZ1RJSkFOaEtvV1lkVVZGUUV3MnNSdjIxUGU2X2dMcjZDU01NMnFBMm92QlM1RWVqNkVhNUdZWVc2TUJEcXpQeDI4VEFnbVhB?oc=5,neutral,0.8513505458831787
2024-05-28,TCS & IIT-Bombay to Build India’s First Quantum Diamond Microchip Imager - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMiuwFBVV95cUxONWxxQlpQTTE3MjI0QnQ1Z0FjMk9UMWdhMkI1V1ozdUxPSkFadm5ZV0RJZS1TSmYyeEwtTU9MWXlZWllXMjExT3J0bThIX1FPRHZxVDlnQnpHbkJJWVNCeG1qT3Q1Y3JObXlZc3E3WEJDWTQta0JMdlZrU3RlekgteHp2TEhnVUwycFlsLU9OSmdDNm1hTmtROHhBTnE5R2Vzc3F6dFRmWDlmazc2UHBQYWVsZ1IyM0sxd1Vr?oc=5,neutral,0.6313015818595886
2024-06-07,"TCS Launches WisdomNext™, an industry-first GenAI Aggregation Platform - Tata Consultancy Services",Tata Consultancy Services,https://news.google.com/rss/articles/CBMivwFBVV95cUxOQ0RobVFiekl6MXFvTE84aGR6anR0SjNZelJETlUtWkp4Mk50eTZzT05qMFNSNjNpV0I1ZkpLVDRqcEFBYnhvU0NBaWUyWW5jcHR1SU5QcVQ3N1BjdkpVY0hVV0ZDRHhmaWgyMEloMmRUU0tKaVdYblFab1ppRzdZSFNkeUwxQl96MUFtcWg5VGZDdkh6ZmVIbEJWaHhGak9MZDNNZEFoN3dGZzVkN0ZMX0JyREFwMkloZ01JRzFkWQ?oc=5,neutral,0.7686236500740051
2024-06-14,"Government plans to work with TCS, HCL and other IT giants for quantum technology - The Times of India",The Times of India,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPNjJ2TG9RTF83c2g0dFkwTVUzME9JUEUwTmk4ZVlJdzdZbGZVWmoxZDJrU0FhenZXbnFpZ3pud0trZmY4MHNqSFJMNDBlN2dYczRFU0prRXhZcjJUcUU5V3NtREVSMnEzaGlEU05PRWpwejg2R3g5dU5ieF9HMVRLMEt6YnZGbGpKNE4tMFlUdWgzNmlDcVE0aEpjcjduUktGNFV0Q3g2aUR4YzA3RHBGM2cyNkhoeTFLbTVEbmRLak1rUjdrRF9hWUlLeGZHQUl6T0NNSDIyLWJYd2p1M0FpMFlqQktHU0t0ZnpNajdhbmxmdFJGVEHSAfsBQVVfeXFMT2tSbTcwTjRScUJSLXJESm5uSUVjdXhzZWpPcnF3SExCZDI3NHpfQV9FRXR2eFh3aTI5Tjg5aXEzcU95YXM1bkJMR2FfUUVyOUtNTDJwbGF4WkpwMm5RbUZXOHFUbGNUUGpMMHpxdzdqLW9XVDJyRVdMbFE0WjRfQ0REVlB3YjBBRmwxaGgxNzJlbHM3ME1GekU3T3RpSXFCYzdka1Y2eHBmQ1NKcFgwTkxsX000MXNzbmZRRkpZOXNlaXZtMG1CVEJoQkk1ZTBxbWxBSFdudlhVcHdJNkR4VVJHcVBseW9BbjVwS0Rlel9qb2hjMmtvdmJhYmM?oc=5,positive,0.5893399119377136
2024-06-15,US court orders TCS to pay $194 million penalty for misappropriation of trade secrets - Livemint,Livemint,https://news.google.com/rss/articles/CBMihwJBVV95cUxOWDRrWjAtcXprdFhXZUlhanUtUll4T1JoMEg4QmI3ZURCS2xqcEJmeW83ZGprTGdkZUtqdGVZRkpOZ1JvSGt5T2xTLTkxNktVemtLWnBxYUZ4OXFWN2JkYmFTSmlwQUxKWi14aVM5WTlwNktZMW1rWTdQeU1OLW9PVjQzaVh1T0FMN2RLNzJ1cm1QeVpwN3Zhc3lCajF2ZFFTakFfZDdRckFwTEVOdml4RXlkX1Qtei1WTG9jckdnczBMU2w2Ti1mUGhPcDczaU01NnVobUF3RldubWpFclBmNWk2alJmREFodGVsWXNPMmcxQVFzaU9vTXdFeEVFUWRKdmR2aWRNWdIBjAJBVV95cUxQTHdCS1ZDTER6a1RhdVI5VEk4Q09IYWlUaHVtc0E4MDNjWmluYXF0ZVNsc3RLUFI0S0FNd05DWWxRMnJnTkQ3anJlVVQ0aGZvUzJobmpSS0QyZ0hSTEQ2Z3N4ZlQybWdFMW55VVpCX3E0Zm9GRHo4YWJlQ2hsTTg2di1qWjFUSWlJMnJYRk80bTFkcjMzeW1EbzE3ZFd4Z2U5RFBuNl81R3A3N1k3X3FVYUlka1Zoc2twU0NRQ1Y5S0pVLWsxaTMxSEY5ZTAyNGlnUk9EeXg0cHZCVXlxT1FEb1ZQbG1YeG1ZQ2poTGUwRVNmRDJMWDZ2Z002emJ2U1RvMlNLbF9mck51dy1P?oc=5,negative,0.9423158764839172
2024-06-21,Xerox Signs Deal with TCS to Transform its IT Technology Using Cloud and GenAI - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMivgFBVV95cUxNMFFvVXk0Q3ZmRlhndWt0RjdKNTAxY1FZWlhBRzlUNFBFd2hDUWYzN2FnaUE1RkJ5SEJ2aDkwNll4RGpiWnBadWpqZVZhVVJxV09HUEp5WjNCVnRQQXFTUGlmaFJUODVPX0VGbUE2Y3RvXy10dUZ5LXk0MXFEMUNqOWMtenh3WDVMVDZxTkNqNG85TllnUE1RbVhaSjJlMFEta2VveWxjWm9DVENFNG1pRnJvMzVEVWZ4UDJTWHp3?oc=5,positive,0.8208009600639343
2024-06-25,"TCS' 80,000 skills gap; world's largest 'AI-ready workforce' and more - The Times of India",The Times of India,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQdGU1RHh3RjlwUW5WTks0RHJ2NFU3a2dnVjR5aHVWQ0owTG5QYVpseVc5MC1reE1BbVhvZFJJYmR6bDIwY253aVdiamotSnNxVWJTdS1telkyaXdXZURrYnFPMldoZGRjSXZJNGhqNFUzZWl0eGlzQUFmOGxzTXNlS1FzRkJCaHRaS04xdnFLNURoS084ckpPUjNDS1d4OFFzdkFZUkJtc0phVmdQVWd1ampPQlpqdnNFc2FIVU53ZURsd2RtTlM2b1BpdjU1OUtqakpsQmFjUUVRWlJUc3Jv0gHkAUFVX3lxTE1DdHJDTHFUVzVUUVRVdnZldDZVSF9Eci1YWktEZVNBcUxiVkhLUVFzbmxZU1JuZXVLczdHTlFOV3VHT2RVSDAxdDBueU40VDhsUWJrelB2QnF1RDJTS04yYXlhblJlTTJ3SC1FWDY0am80cGtpUGFmLWR2U1hoOUhJeHBlVFY0SmNRaElDbmtLblh1QUhSTm9IdUlhTDRLN2hiUWxfUGQ1SFhzelBSY19FcmpUZXVScTRHT2RMS1JoUk81cVRzWUNSMlIwb3I4OFdEUXFoUnhUejhWb2pqS3FSdUpYOQ?oc=5,neutral,0.7451821565628052
2024-07-02,"TCS Signs Title Partnership with Sydney Marathon, Australia’s Largest and Most Iconic Race - Tata Consultancy Services",Tata Consultancy Services,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNT1dfaWxUQUMtOUJyUnN3SkREVXNRZVY1MENkTFVpOERaQWhzc1pxOTR1UGNpN2NTMVVodTdrYnJ0V2JtQkxpZy1YSS1FMGNudkJEZEcxZkp1TlgwM2Y2LWk5RkVlUEJ0MDBDMVp6YWVLQ3ZxNEJ2ZzNiMXhzSktyNGxjVVJBUTd3MEtnQW9XS0ktMS1QOFZtTl8zdmtVa1BsNjNPczQ3Zl8zaU1XQjBfZThpQ2J5c0UzVEFxMmRZck92M29JRm80eWRsVzJ5UldzQ1Vv?oc=5,positive,0.9003053903579712
2024-07-03,IT service consultancy TCS becomes title partner of Sydney Marathon - ausleisure.com.au,ausleisure.com.au,https://news.google.com/rss/articles/CBMiowFBVV95cUxPcGp6dkJibmVMV1hCb2g4Q1huRlAza3h5UGxGQldueEZBbjd5WDh4NzJLbmNScTA3RnZiME53blVlc3VReURXTFZ2SDd0OC1vdzdaSHVvTjFXci1KN2d3SFVmaWlVQnBBendyTFJNQWVkOUdZT0d4M1p4VFdhSk5rT2FfUGZaVE05UnJfOFJBUFRfSnBOM0tydWQ4SVZSVVFrUUN3?oc=5,neutral,0.9049640893936157
2024-07-09,TCS Q1 result preview: Revenue growth likely at five quarter high but profit and margin may shrink - CNBC TV18,CNBC TV18,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOMzNXeHpiUnpMU0VZNzJ6RFB0Y3FSc3RZb1JuU1cwaF9OYm0xaUt4OFRhNFhkZHNsMkhwQ2tTbndUcWJ0c01SOXo2TEZVRGZUV2Q1dU1zUUVIMVFIYzA2QmxWZUdyRndLTERqM1RaX2pBVWJvcnlUZnlMZEVYZW5sN1pPVzQxY0piTVhvMUN4R1FjVXMzRjNpZVJKTEhsbHB5Qk8xZHU5eXByYThnWXpZZUtxSnd0cHR3X2lGMUtYcTF2eDhRRk5GOFFBLU5hOEVEU0tMX21lVEdHQzFwX2pacXhHVlc3dWZIbVRz0gHwAUFVX3lxTE1VREdaSGZNbmhMMUVYSTM3UGZBQ3lRNjFOdTFPQXNyWkFiandIWTBlSlBVb212Y2JpSzEtNzF0aDNjLXhBVEFyZElaZVdYcWVCNW03VDU2UDJHRlRTbmRpTmRuRmxONGpCR1lFSjlJcm5INFNGUG0xYzF0ZFJPRjRGQktBVEhrRU9wMnlvQndyTVRNRVdWbkItRFRINFktanVua19OQVBPQndPS1VsWjZVVHZLVzF0YXZGSDRyY3ZKZDhvd3dnRkJfdkYzandfN0wwbmh3Y1VrWFQxcWdvUFVEV1NXNTFvbTNKMWpnOTFCMQ?oc=5,negative,0.9320592880249023
2024-07-09,TCS Q1 Preview: Margin pressure to weigh; net profit may rise 6-9% - Business Standard,Business Standard,https://news.google.com/rss/articles/CBMizgFBVV95cUxPRXhoZmpZclVCSzhtXzZ3ZV83TG5SUEEtMU1nTHp5eGgzNGVYazRZOExfQjhuNWdJLUdLbmNDaGlCS05FNGJTUnZLWEgwS3ViZ2N0eHliVGg3ZkprcmNuQThqcEFPd05QbnY5b1pCNF8tMU9vYnBYZWFJMHZlbjB3OFl0WUVhS3FOWHNWN3dEZjVmUkJjaFkxMjlCa1Y4S29mUWZiMmxWVVZHOGNxaGdiaHJIZHE1V2lfUzJvYjJlOVlTZWhFYlNJQVN5V0V1QdIB0wFBVV95cUxNVEdoRkhCYUU5cHhjNGExaHBqRENmODRnblFkRWwzSVdzbVdtRGYzLVVta05fb21MWlgxajExeWFIeFJnV1B1NVVjVXlzVE5oY1UwSE9uWTlBM0VQNV9tOEZYOC1FYVh1ZThKRXA4RFdPOVIwNjFJaVhYTWNMb1UydTVCY2RsOTRQQmlBWkV1d0VNOVl4RmJCTTJDdjJTTjdFb2lLWTFoZXJNYmo2M1pZZUZRUUlaT090NFRrc0NDV1dnY3Z5U2ZFWURreFNCQXI0alVZ?oc=5,positive,0.9529626369476318
2024-07-11,"India's TCS beats Q1 view, flags persistent demand uncertainty - Reuters",Reuters,https://news.google.com/rss/articles/CBMijAFBVV95cUxQU18zSVdTUkVIU0lab0lsbWVwckl2dWw3M05BekhXcU1jbXFWak82UnlCdVIxTVp4MDNCMkpWaGFWM1ViTl9SX1I3SEEtZzNZcFEwdzVXQWNkb2djNU9fTXFDajVlYzlxcURVYWZoTzBvNmVtQWxUaDB1ZG9pdzZpLWJYLTE0REtoZGFqTg?oc=5,neutral,0.43105074763298035
2024-07-11,"TCS Q1 results: Net profit up 8.7%, margins rise despite salary hike - Business Standard",Business Standard,https://news.google.com/rss/articles/CBMijwFBVV95cUxOcTVCU1Ntc2tuYVBkSWpvckNNMFZzaVluUW9VaUdFSEdxMnBKTW9IXzdxV3lqQ0JMak9SeS1rUTFoa2xFY1NxT2wyZy1Qd2lacjc2UGlXZTJBWXZDUHhzdXo0YkpyeFkxNjZVbldtQnR2ZzRuUXRxaWZJSjU1bFlnTzFTc3ZYX2pLME5GbGZua9IBlAFBVV95cUxPaWJQZlpDLV8tMW1WLTRmeTluekFZX0VxeGNZMHo3Z01pcTQxWnZtOUYxX3l4UXJFN0xrb2RzeFFKWHFRUEIzRXZ2ekhKM212bGxENmRsSGRYZ3hCdF9odTQ4WEswYXlEMl9QVG5IYU5MeWlza09wajlyWlBVZWhSMlFyb0NfdWNoWE50RFNGZl9SaHVV?oc=5,positive,0.955925464630127
2024-07-11,TCS completes annual increments in Q1 - moneycontrol.com,moneycontrol.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxNMkNiWEF3WlZZRnBfaWZ5LTJxUnBsREVrbEZ2dzhQODJ6a2hRcGdMWU5CbVRwSDRVZXhwcXc4N1NsVUFPTXl3X3F5RGpKa2ZrTGpFeHNwenhxQTRQWHpTTEEwWnpNSWI1aElMMjhnUnBRTFV1d3drZEVUNDhGOFdqYnZ2cko2ZDBsWlBqVGRDajB0ZkoxTFgzRmZDMGtTMXdQ0gGmAUFVX3lxTE05T3FTU09rSWtpcGNVMGhRVHpDZ1JDclphSFhseUdXMUFlM0FDYkNubzdPOXhpdmROSWZjbGdURHd5NGZsOFRObHBYRlJBVE9md2pTcVVFTWVQNzZkb2VWYnZaWFFYUkRTUmpHSUhGY2lGTEl2SU5xOFBUOU5yT3IzS2hscnR5eXNzMTNvWnd1Y25zLWxXS3VMY2VUd3RidnVKZl9neFE?oc=5,neutral,0.9153026938438416
2024-07-22,FIA 2024: TCS and Rolls-Royce support research into hydrogen aviation fuel - Aviation Business News,Aviation Business News,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNczMzWUV0SjFHMmw2QzB0aVhxNGxLSGlGMHZJM1laRURxVWxNWFBQcXBtUXI3c2EyY05fQTRYTUUyNEg1TFVBaThsSFV5NklqSjNsdUtjRkNRSmFadXJiWklxMndZV2RDcnlVemtJNWFBOVBtY2hJUVVvTFVEYkNNR2plOUh3NHR3bktTTUdoNFJkbnRkVUVBR2tBeGNJZ1cyc0p1UG1naEpianM0c3M4THlZMzZKZzh0Z2VvOVJ6aENOZG8?oc=5,neutral,0.5165020227432251
2024-07-22,Farnborough International Airshow: Explore Aerospace and Aviation Tech - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMiigFBVV95cUxNSW9KY0NaOUV6aDk5a0hIbjZaeFJxMVRVZjMxVFp3eFNBQjhlS1prYnZRTTlzSElYcVRyQl9ka2o5cXVDYkhNRTV3aUlmWjIwcnBLMnRQcjRIcTF1UUl4Rk5jc0dpWVVJMG9WUHpuQkxnQ3hyNF9CQXpNR2YwZ1EwQVRHX2tvaUFUN2c?oc=5,neutral,0.9074222445487976
2024-08-09,TCS Positioned as a Leader in Healthcare Payer Digital Services by Everest Group - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNMlYzV0s1YzQ4dkJjUWRQR2lQTWFBS05QQU1ZOGlBc3NJRU1TQzlreXJoWnBJeHUtc21VNmV0R0xPTlFkWVlSVkFsbXZjamVYc3pqYXlMcl9hMy1hV3FVQUg0VDRBS1RYQTU5cWFNbkxMXzE3QVUyY1hnWEVuWXZybnFKNkhia0FZVUxWMmF5WmFGTTdDT3F2SkNMYkN0QU9VOU1iNnRGZVFhaHRLdmNwalJmRWgxaXMyNnJqZUZOanZEU2s?oc=5,positive,0.8474426865577698
2024-08-15,TCS Recognized as a Leader in Lending IT Services by Everest Group - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMisAFBVV95cUxOZ241bmhWbERELWM0YzAyM3lxek5WT3BYSUZNcFN6T2ptUFVLTjNNWF9JcmxNdkJCWkZPVU1vVEZpQ1IyY2dRTWtnWTRHTzE1TUNwTXU3aHY2aHVSVzFjNm9WZ0hDQXFaT29CeFB4MDdhemFWNjl4SXJMdm0xLUxhMS0wVGpqZWxLcjl1LWFkLThMaXIyLTlRYXR5a09TTUlOT1JjYUFYb2FZbHo3NzJoRw?oc=5,positive,0.9018729329109192
2024-08-25,TCS’s North America head Muthuswami quits - Livemint,Livemint,https://news.google.com/rss/articles/CBMi-wFBVV95cUxNZWk3RDlKTmZFZlcwc3hOSGNoNHVyNzF6alBiTFVnMXA5ZEFPYjJ3cmlPWUZVTDh6OWxvNHplT1ZGRnJtY1E5TXV6WFhoR0dSRjF0SWVSX2ZTV3FxS0w0NmlfRkZBWlRhc3J5WGZNeEgyRnpfY1RMTGVrT3F0SDlRVEZ4SGNGMFJTSmhaajZQd3ctbFRkamgxSThsOEduV184aHFWZmtmd09EMWNfTmFvSWg4d1NUeUJfR2VaVUUxX1gwcDI1SDRzMURfbWUzNlBKLV9HS216akJuX0JVZ2Qyb3UyMUdyZVFjSm1HeDhtd1dwdHhNY1hmbjh4a9IBgAJBVV95cUxQUEhZRmdkWDBkakFxd0ZzLUE2bUJwWm9iSjRQaGVqU1VRQ2w3RUlyX2c0VWJkYjVzTmNVRjNDTFc5RjVVbDhuM0l1UFdMb3U0aV9HcDFYVjlzWXNjYXM0SGxhU3JNSW5DYVhVek1MZUk4ZDBrNjROMXZqTEJtcFRxc2REbnY2RHVYRUNrMmlwTEIxdTZtWlBpek9pOXhQbm1RYnNQdjVOemdSRTZUZHpFcFdSWExFd0I0TVY1UFZOaEtZNm1Ed2VxTEx6UlNxVEV1bHM4c2k4WW9Vd3RqYTJ1R2F3OG81b2dVM01ZdEJpeTVkY1RYVjlhN0FKOVFIbHFC?oc=5,negative,0.5880554914474487
2024-08-29,Primark extends Tata Consultancy Services retail technology deal to support retailer's plans for global growth - Retail Technology Innovation Hub,Retail Technology Innovation Hub,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQejMwRTlsRmE3Q2R0VWczNVg4X3EzZ2NRREZCTEx3SHRiSFd3alhNVUd5QXRySFZxYWN2U3cxZG1hRW1sdnZNYkNWNUQ1SVM4Y19UTVdmMGpna0doTUM0ZTJnWnZ3UmdUVk1HR2JnUGlXYXNpeFp2WVZiOHpURmxvbTZLUy1HLTRpa1NkR0txVWk1WHVtRE1BcGN4NjBwUGJmNGROaU05UDc3TW9oOERaX0tGaWJxME9xTUU0UjRNZjJ5NVhLVnVYa0VQZzZLd1JGVXd5RlB1VmxXeDQ1Sld0d2tYanF6R3VBS1cwY2ZENEhfQQ?oc=5,positive,0.8972645401954651
2024-08-29,TCS to Fashion New Partner Landscape for Primark to Transform and Grow its Operations - Tata Consultancy Services,Tata Consultancy Services,https://news.google.com/rss/articles/CBMivgFBVV95cUxNN01TbzhqcDdYV2ZWVExjTXhtU0Y2eU45M1ZiOVpUalNkOWx2QmNNTnNGWkViWjdRMlNQYXdUT1VCMnBiUlBfVEpJcnBNMGh4UkVUUlU5XzYyS1A5WGhFaHlSQ3NBWFBnSndUbmhHckNlOElQUkkzYWpUdFJEbzg0ZVhGUGpMUzQ1NzZucE0yOUtPa0xCRVZhS2dhS1F4SGRQLTREN00zZXh3TDdnMjFsd0kzNndDRmxicGw5U3F3?oc=5,positive,0.7977173328399658
