Horizon,Target,Return_Threshold,Model,Train_Samples,Validation_Samples,Test_Samples,Train_UP_Rate,Validation_UP_Rate,Test_UP_Rate,Train_AUC,Validation_AUC,Test_AUC,Train_Balanced_Accuracy,Validation_Balanced_Accuracy,Test_Balanced_Accuracy,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
1,Direction,0.0,Logistic,1117,373,372,0.5219337511190689,0.4932975871313673,0.44623655913978494,0.6598569969356486,0.5066712675408328,0.4861094864896479,0.6211832122368479,0.49932424660685526,0.45987834834483565,0.6195165622202328,0.49865951742627346,0.43548387096774194,0.41911764705882354,0.6867469879518072,0.5205479452054794
1,Direction,0.0,XGBoost,1117,373,372,0.5219337511190689,0.4932975871313673,0.44623655913978494,0.9351925016542357,0.4859673337934208,0.5026026435840449,0.8488269380255813,0.4848027375201288,0.49643233126681485,0.8504923903312444,0.48525469168900803,0.46236559139784944,0.4440789473684211,0.8132530120481928,0.574468085106383
1,Return_AtLeast_0.5pct,0.005,Logistic,1117,373,372,0.35541629364368843,0.29222520107238603,0.30376344086021506,0.6777672823957459,0.5220322490964693,0.5453582533228551,0.6369070109151973,0.5310501807061441,0.502460108654799,0.6418979409131602,0.6487935656836461,0.47043010752688175,0.3055555555555556,0.584070796460177,0.4012158054711246
1,Return_AtLeast_0.5pct,0.005,XGBoost,1117,373,372,0.35541629364368843,0.29222520107238603,0.30376344086021506,0.9464245731877974,0.4957256046705588,0.5302559196364507,0.7630125244892247,0.4864470391993328,0.5268049338845799,0.8263205013428827,0.6809651474530831,0.6397849462365591,0.36,0.23893805309734514,0.2872340425531915
1,Return_AtLeast_1.0pct,0.01,Logistic,1117,373,372,0.22739480752014324,0.1742627345844504,0.17473118279569894,0.686754682895229,0.46823176823176826,0.5363568028063141,0.6313058275015739,0.5042207792207792,0.5044850914557755,0.6427931960608774,0.7024128686327078,0.46236559139784944,0.17703349282296652,0.5692307692307692,0.27007299270072993
1,Return_AtLeast_1.0pct,0.01,XGBoost,1117,373,372,0.22739480752014324,0.1742627345844504,0.17473118279569894,0.9588781124259815,0.470979020979021,0.5005261839138061,0.6366365270389869,0.5044455544455545,0.5089701829115509,0.8334825425246195,0.8230563002680965,0.75,0.1956521739130435,0.13846153846153847,0.16216216216216217
3,Direction,0.0,Logistic,1117,373,370,0.5210384959713519,0.5013404825737265,0.42162162162162165,0.7103863570671548,0.5056925996204934,0.5588006230529596,0.6346629411953624,0.5228422747398079,0.5042535346273663,0.6338406445837064,0.5227882037533512,0.4486486486486487,0.4240506329113924,0.8589743589743589,0.5677966101694916
3,Direction,0.0,XGBoost,1117,373,370,0.5210384959713519,0.5013404825737265,0.42162162162162165,0.9590712014644956,0.5237479155885227,0.574916127486221,0.8956177537977326,0.5015381519176586,0.5027857656362329,0.8970456580125336,0.5013404825737265,0.44594594594594594,0.4231974921630094,0.8653846153846154,0.5684210526315789
3,Return_AtLeast_0.5pct,0.005,Logistic,1117,373,370,0.4395702775290958,0.38873994638069703,0.34594594594594597,0.7165301302030804,0.5166364186327889,0.5697636880165289,0.6571156211161937,0.544615849969752,0.5187564566115702,0.658012533572068,0.5737265415549598,0.41621621621621624,0.3562091503267974,0.8515625,0.5023041474654378
3,Return_AtLeast_0.5pct,0.005,XGBoost,1117,373,370,0.4395702775290958,0.38873994638069703,0.34594594594594597,0.9619476454780295,0.4942831215970961,0.5667613636363635,0.8822917954490738,0.5304748941318814,0.5162060950413223,0.8889883616830797,0.5871313672922251,0.4297297297297297,0.3554006968641115,0.796875,0.491566265060241
3,Return_AtLeast_1.0pct,0.01,Logistic,1117,373,370,0.35541629364368843,0.289544235924933,0.2945945945945946,0.7119822278197593,0.5513976240391335,0.5692994481352596,0.6547509095997761,0.5724842767295597,0.5288938099757461,0.6598030438675022,0.6380697050938338,0.3918918918918919,0.3092105263157895,0.8623853211009175,0.4552058111380145
3,Return_AtLeast_1.0pct,0.01,XGBoost,1117,373,370,0.35541629364368843,0.289544235924933,0.2945945945945946,0.9597047299188357,0.5071278825995807,0.5749586980210201,0.8188636999720122,0.5272536687631028,0.5448346163309783,0.864816472694718,0.7024128686327078,0.4972972972972973,0.3257918552036199,0.6605504587155964,0.43636363636363634
5,Direction,0.0,Logistic,1117,373,368,0.5568487018800358,0.49865951742627346,0.4048913043478261,0.7536717658904155,0.5744063021102869,0.5513775244399497,0.6790980544999838,0.5630067276177333,0.5271520946339371,0.67591763652641,0.5630026809651475,0.453804347826087,0.41975308641975306,0.912751677852349,0.5750528541226215
5,Direction,0.0,XGBoost,1117,373,368,0.5568487018800358,0.49865951742627346,0.4048913043478261,0.9673422326155445,0.5682824449427866,0.5423676871686434,0.8989525479879177,0.5602754298200219,0.4997548343599645,0.9033124440465533,0.5603217158176944,0.421195652173913,0.40476190476190477,0.912751677852349,0.5608247422680412
5,Return_AtLeast_0.5pct,0.005,Logistic,1117,373,368,0.4914950760966876,0.40482573726541554,0.3532608695652174,0.7494259729597988,0.5539347294314182,0.5702327084680026,0.6817725570178814,0.546178628960086,0.5378474466709761,0.6821844225604298,0.5656836461126006,0.4157608695652174,0.37237237237237236,0.9538461538461539,0.5356371490280778
5,Return_AtLeast_0.5pct,0.005,XGBoost,1117,373,368,0.4914950760966876,0.40482573726541554,0.3532608695652174,0.9716353677621283,0.5373187757293718,0.5698448610213317,0.9086880114933682,0.5269822802935386,0.5235617323852618,0.9086839749328559,0.5630026809651475,0.4266304347826087,0.36633663366336633,0.8538461538461538,0.5127020785219399
5,Return_AtLeast_1.0pct,0.01,Logistic,1117,373,368,0.41271262309758283,0.34584450402144773,0.30434782608695654,0.7597084810327496,0.5679565383149066,0.57080078125,0.6833765409237607,0.5659073579870377,0.5279017857142857,0.6875559534467324,0.5898123324396782,0.3641304347826087,0.31736526946107785,0.9464285714285714,0.47533632286995514
