Model,Horizon,Target,Threshold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Positive_Rate,Number_of_Positive_Predictions,True_Positive,False_Positive,True_Negative,False_Negative
XGBoost,10,Return_AtLeast_1.0pct,0.1,0.409306742640076,0.4923390246624261,0.4093113482056256,0.9701149425287356,0.5757162346521146,0.9791073124406457,1031,422,609,9,13
XGBoost,10,Return_AtLeast_1.0pct,0.11,0.4074074074074074,0.4890190826916639,0.40762463343108507,0.9586206896551724,0.5720164609053497,0.9715099715099715,1023,417,606,12,18
XGBoost,10,Return_AtLeast_1.0pct,0.12,0.4121557454890788,0.4917029349402968,0.4089108910891089,0.9494252873563218,0.5716262975778547,0.9591642924976258,1010,413,597,21,22
XGBoost,10,Return_AtLeast_1.0pct,0.13,0.41500474833808165,0.4920879366142171,0.40904522613065325,0.9356321839080459,0.5692307692307692,0.9449192782526116,995,407,588,30,28
XGBoost,10,Return_AtLeast_1.0pct,0.14,0.4131054131054131,0.4877469032474054,0.40672782874617736,0.9172413793103448,0.5635593220338984,0.9316239316239316,981,399,582,36,36
XGBoost,10,Return_AtLeast_1.0pct,0.15,0.4188034188034188,0.4915801807833947,0.4086687306501548,0.9103448275862069,0.5641025641025641,0.9202279202279202,969,396,573,45,39
XGBoost,10,Return_AtLeast_1.0pct,0.16,0.4235517568850902,0.49426403303202765,0.4100418410041841,0.9011494252873563,0.5636232925952552,0.9078822412155746,956,392,564,54,43
XGBoost,10,Return_AtLeast_1.0pct,0.17,0.4254510921177588,0.4945207008146412,0.41014799154334036,0.8919540229885058,0.5619116582186822,0.8983855650522318,946,388,558,60,47
XGBoost,10,Return_AtLeast_1.0pct,0.18,0.42830009496676164,0.4959267938846111,0.41088580576307365,0.8850574712643678,0.5612244897959183,0.8898385565052231,937,385,552,66,50
XGBoost,10,Return_AtLeast_1.0pct,0.19,0.42735042735042733,0.49307554960383887,0.40928725701943847,0.871264367816092,0.5569434239529758,0.879392212725546,926,379,547,71,56
XGBoost,10,Return_AtLeast_1.0pct,0.2,0.43399810066476735,0.49737752482981806,0.411635565312843,0.8620689655172413,0.5572065378900446,0.8651471984805318,911,375,536,82,60
XGBoost,10,Return_AtLeast_1.0pct,0.21,0.44349477682811017,0.5051277759178663,0.41601779755283647,0.8597701149425288,0.56071964017991,0.8537511870845205,899,374,525,93,61
XGBoost,10,Return_AtLeast_1.0pct,0.22,0.44634377967711303,0.5048320499944203,0.4159090909090909,0.8413793103448276,0.5566539923954372,0.835707502374169,880,366,514,104,69
XGBoost,10,Return_AtLeast_1.0pct,0.23,0.4520417853751187,0.5086653275304096,0.4182027649769585,0.8344827586206897,0.5571757482732157,0.8243114909781576,868,363,505,113,72
XGBoost,10,Return_AtLeast_1.0pct,0.24,0.452991452991453,0.5084532976230332,0.4181184668989547,0.8275862068965517,0.5555555555555556,0.8176638176638177,861,360,501,117,75
XGBoost,10,Return_AtLeast_1.0pct,0.25,0.4624881291547958,0.5158631849123981,0.42266824085005905,0.8229885057471265,0.5585023400936038,0.8043684710351378,847,358,489,129,77
XGBoost,10,Return_AtLeast_1.0pct,0.26,0.466286799620133,0.5167168842763085,0.4234016887816647,0.8068965517241379,0.555379746835443,0.7872744539411206,829,351,478,140,84
XGBoost,10,Return_AtLeast_1.0pct,0.27,0.47388414055080724,0.5228490123870104,0.42735042735042733,0.8045977011494253,0.5582137161084529,0.7777777777777778,819,350,469,149,85
XGBoost,10,Return_AtLeast_1.0pct,0.28,0.47673314339981004,0.523914741658297,0.4282178217821782,0.7954022988505747,0.5567176186645213,0.7673314339981007,808,346,462,156,89
XGBoost,10,Return_AtLeast_1.0pct,0.29,0.4805318138651472,0.5264702600156232,0.43,0.7908045977011494,0.557085020242915,0.7597340930674265,800,344,456,162,91
XGBoost,10,Return_AtLeast_1.0pct,0.3,0.47768281101614435,0.5216605289588215,0.42712294043092525,0.774712643678161,0.5506535947712419,0.7492877492877493,789,337,452,166,98
XGBoost,10,Return_AtLeast_1.0pct,0.31,0.47863247863247865,0.5214484990514452,0.42710997442455245,0.767816091954023,0.5488907148726376,0.7426400759734093,782,334,448,170,101
XGBoost,10,Return_AtLeast_1.0pct,0.32,0.47768281101614435,0.518597254770673,0.4254215304798962,0.7540229885057471,0.5439469320066335,0.7321937321937322,771,328,443,175,107
XGBoost,10,Return_AtLeast_1.0pct,0.33,0.47673314339981004,0.5160863742885838,0.4238845144356955,0.7425287356321839,0.5396825396825397,0.7236467236467237,762,323,439,179,112
XGBoost,10,Return_AtLeast_1.0pct,0.34,0.47863247863247865,0.515662314473831,0.42379679144385024,0.728735632183908,0.5359256128486898,0.7103513770180437,748,317,431,187,118
XGBoost,10,Return_AtLeast_1.0pct,0.35,0.4805318138651472,0.5152382546590782,0.42370572207084467,0.7149425287356321,0.5320786997433704,0.6970560303893637,734,311,423,195,124
XGBoost,10,Return_AtLeast_1.0pct,0.36,0.48243114909781576,0.5151545586430086,0.42382271468144045,0.7034482758620689,0.5289541918755402,0.6856600189933523,722,306,416,202,129
XGBoost,10,Return_AtLeast_1.0pct,0.37,0.48148148148148145,0.5116225867648699,0.4214992927864215,0.6850574712643678,0.521891418563923,0.671415004748338,707,298,409,209,137
XGBoost,10,Return_AtLeast_1.0pct,0.38,0.48717948717948717,0.5154558643008592,0.4244604316546763,0.6781609195402298,0.5221238938053098,0.6600189933523267,695,295,400,218,140
XGBoost,10,Return_AtLeast_1.0pct,0.39,0.4881291547958215,0.5149034705947997,0.42419825072886297,0.6689655172413793,0.5191793041926851,0.6514719848053181,686,291,395,223,144
