Regime_Filter,Threshold,Holding_Period,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Win_Rate,Profit_Factor,Trades,Exposure,Buy_Hold_Return,Excess_Return
All_Regimes,0.6,5,-0.44732802345190426,-0.16640554237717486,-1.2716516016827395,-1.1702340411672418,-0.48672267303353345,0.3333333333333333,0.45642688534356785,72,0.53375,-0.3124085033541204,-0.13491952009778385
All_Regimes,0.6,10,-0.4273341288899509,-0.1572631683601241,-1.0471137067030258,-1.1077245152202146,-0.4818647772850979,0.4666666666666667,0.5085385834032855,45,0.60375,-0.3124085033541204,-0.11492562553583052
All_Regimes,0.6,15,-0.2513105916041686,-0.08500426671786276,-0.46286981753467143,-0.5526227274969795,-0.40234746396663024,0.45454545454545453,0.7308406116017536,33,0.65,-0.3124085033541204,0.06109791174995183
All_Regimes,0.6,20,-0.3375713394904347,-0.11874471942381604,-0.681459437845216,-0.797064097576601,-0.4373322499518003,0.46153846153846156,0.5934122439194074,26,0.66875,-0.3124085033541204,-0.025162836136314315
All_Regimes,0.65,5,-0.31712815991300725,-0.11048500735645561,-0.8332722700932421,-0.7644773329373208,-0.35390365337264273,0.3582089552238806,0.5992129435484763,67,0.4975,-0.3124085033541204,-0.004719656558886842
All_Regimes,0.65,10,-0.33114064116036446,-0.11612769039855098,-0.7795143688901558,-0.8121157130667321,-0.4083489680622575,0.47619047619047616,0.5733095255890016,42,0.57375,-0.3124085033541204,-0.018732137806244054
All_Regimes,0.65,15,-0.2193993519728017,-0.07320665571613694,-0.4102560708893745,-0.43444907982729897,-0.37127983634718276,0.5333333333333333,0.6963577267939871,30,0.57875,-0.3124085033541204,0.09300915138131871
All_Regimes,0.65,20,-0.25794940611738115,-0.087502254610063,-0.5004455851998357,-0.5472027571072063,-0.4137476039286223,0.5,0.6548751940839707,24,0.615,-0.3124085033541204,0.05445909723673925
All_Regimes,0.7,5,-0.2735550399320529,-0.09343580092563775,-0.7758162818913875,-0.6736455445513747,-0.364868247152745,0.4067796610169492,0.6700420593634175,59,0.435,-0.3124085033541204,0.038853463422067525
All_Regimes,0.7,10,-0.220379503388915,-0.07356399395861024,-0.5094817538860321,-0.5061356161276944,-0.3416241648950321,0.5405405405405406,0.6974944819794984,37,0.50375,-0.3124085033541204,0.09202899996520542
All_Regimes,0.7,15,-0.19862160868629752,-0.06570372697074556,-0.37841606288774227,-0.4019198027537715,-0.3397680126822511,0.5357142857142857,0.733241764293719,28,0.54875,-0.3124085033541204,0.11378689466782288
