Fold,Model,Train_Start,Train_End,Test_Start,Test_End,Train_Rows,Test_Rows,News_Coverage,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,Strategy_Return,Buy_Hold_Return,Max_Drawdown,Sharpe
1,Technical_Only,2024-01-01,2025-06-25,2025-06-26,2025-09-19,365,60,0.25,0.45,0.4605263157894737,0.3333333333333333,0.5,0.4,0.47966507177033496,-0.06785043824096593,-0.10692079574038404,-0.09678074694346939,-2.509357852031719
1,Technical_News,2024-01-01,2025-06-25,2025-06-26,2025-09-19,365,60,0.25,0.48333333333333334,0.4772727272727273,0.3448275862068966,0.45454545454545453,0.39215686274509803,0.5179425837320574,-0.061587857079429265,-0.10692079574038404,-0.0833371119675268,-2.308777270129469
2,Technical_Only,2024-01-01,2025-09-19,2025-09-22,2025-12-17,425,60,0.45,0.55,0.5401785714285714,0.5238095238095238,0.39285714285714285,0.4489795918367347,0.5212053571428572,0.07946112613808443,0.06734335243404121,-0.013142085123782898,3.0828862939526136
2,Technical_News,2024-01-01,2025-09-19,2025-09-22,2025-12-17,425,60,0.45,0.55,0.5334821428571428,0.5333333333333333,0.2857142857142857,0.37209302325581395,0.546875,0.089445504962826,0.06734335243404121,-0.006343569741643518,3.5942062202051677
3,Technical_Only,2024-01-01,2025-12-17,2025-12-18,2026-03-17,485,60,0.3,0.5166666666666667,0.5171428571428571,0.43333333333333335,0.52,0.4727272727272727,0.4982857142857143,-0.13843373597833442,-0.2458995751193893,-0.17811015342240133,-2.9143833053921204
3,Technical_News,2024-01-01,2025-12-17,2025-12-18,2026-03-17,485,60,0.3,0.4166666666666667,0.4085714285714286,0.32142857142857145,0.36,0.33962264150943394,0.4114285714285715,-0.19588482541026708,-0.2458995751193893,-0.2225115667446711,-3.985245191516554
4,Technical_Only,2024-01-01,2026-03-17,2026-03-18,2026-06-17,545,60,0.45,0.5666666666666667,0.5286195286195285,0.5714285714285714,0.14814814814814814,0.23529411764705882,0.5443322109988776,0.030024203599458232,-0.11096896218991947,-0.07690966003630795,0.7677037650005706
4,Technical_News,2024-01-01,2026-03-17,2026-03-18,2026-06-17,545,60,0.45,0.5166666666666667,0.4764309764309764,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.4803591470258137,-0.013762616776058723,-0.11096896218991947,-0.0840165609535819,-0.24708219353859487
5,Technical_Only,2024-01-01,2026-06-17,2026-06-18,2026-08-21,605,46,0.6521739130434783,0.5,0.5,0.5,0.391304347826087,0.43902439024390244,0.5085066162570889,-0.00982371443818475,0.07055608510428169,-0.07486130683168035,-0.18717103414641637
5,Technical_News,2024-01-01,2026-06-17,2026-06-18,2026-08-21,605,46,0.6521739130434783,0.5869565217391305,0.5869565217391304,0.6,0.5217391304347826,0.5581395348837209,0.5330812854442344,0.050311482892622994,0.07055608510428169,-0.03430749682337986,1.430369337680701
