Date,Actual,Probability_Up,Prediction,Model,Window
2022-01-18,0,0.5572098635430409,1,Logistic,1
2022-01-19,0,0.6063239529005113,1,Logistic,1
2022-01-20,0,0.6201840081633705,1,Logistic,1
2022-01-21,0,0.6185522326312558,1,Logistic,1
2022-01-24,0,0.5771169502220801,1,Logistic,1
2022-01-25,0,0.5646337821832899,1,Logistic,1
2022-01-27,1,0.5948284113037294,1,Logistic,1
2022-01-28,1,0.5769831138810471,1,Logistic,1
2022-01-31,1,0.4426528041492425,0,Logistic,1
2022-02-01,1,0.4869069242116434,0,Logistic,1
2022-02-02,0,0.46500849264724897,0,Logistic,1
2022-02-03,0,0.5031195637435423,1,Logistic,1
2022-02-04,0,0.5240349830297398,1,Logistic,1
2022-02-07,0,0.5589569704379524,1,Logistic,1
2022-02-08,0,0.5273099617988645,1,Logistic,1
2022-02-09,0,0.48091181583347736,0,Logistic,1
2022-02-10,0,0.4551798833619701,0,Logistic,1
2022-02-11,1,0.4988629582713307,0,Logistic,1
2022-02-14,1,0.5101172712384355,1,Logistic,1
2022-02-15,0,0.471918050878329,0,Logistic,1
2022-02-16,0,0.42852053651455174,0,Logistic,1
2022-02-17,0,0.48376772543159685,0,Logistic,1
2022-02-18,0,0.5524636387945235,1,Logistic,1
2022-02-21,0,0.5881776623144398,1,Logistic,1
2022-02-22,0,0.6364674515247488,1,Logistic,1
2022-02-23,0,0.5583686386285202,1,Logistic,1
2022-02-24,1,0.6288929056366988,1,Logistic,1
2022-02-25,0,0.4979427623737007,0,Logistic,1
2022-02-28,0,0.5408896430234271,1,Logistic,1
2022-03-02,0,0.46958079279483883,0,Logistic,1
2022-03-03,0,0.46335301442131194,0,Logistic,1
2022-03-04,0,0.5579530859581612,1,Logistic,1
2022-03-07,1,0.5928149503633253,1,Logistic,1
2022-03-08,0,0.5873830110281861,1,Logistic,1
2022-03-09,0,0.45172725789066126,0,Logistic,1
2022-03-10,0,0.4413663518225495,0,Logistic,1
2022-03-11,1,0.48978868864891384,0,Logistic,1
2022-03-14,0,0.5138548258475296,1,Logistic,1
2022-03-15,1,0.43551847364452134,0,Logistic,1
2022-03-16,0,0.4089477162267095,0,Logistic,1
2022-03-17,0,0.3936844487075332,0,Logistic,1
2022-03-21,1,0.4802612604864323,0,Logistic,1
2022-03-22,0,0.4820752280155288,0,Logistic,1
2022-03-23,1,0.42417811231265795,0,Logistic,1
2022-03-24,0,0.480871964912918,0,Logistic,1
2022-03-25,0,0.4970581235901011,0,Logistic,1
2022-03-28,0,0.5685230779526563,1,Logistic,1
2022-03-29,1,0.5707917104708605,1,Logistic,1
2022-03-30,0,0.5455699786133822,1,Logistic,1
2022-03-31,0,0.5483117305203145,1,Logistic,1
2022-04-01,0,0.5645096727001981,1,Logistic,1
2022-04-04,1,0.574206594916999,1,Logistic,1
2022-04-05,0,0.570854332438844,1,Logistic,1
2022-04-06,0,0.6369861724559883,1,Logistic,1
2022-04-07,0,0.6371529505437472,1,Logistic,1
2022-04-08,0,0.6362503990250666,1,Logistic,1
2022-04-11,0,0.6263097202526893,1,Logistic,1
2022-04-12,0,0.6539508622472262,1,Logistic,1
2022-04-13,0,0.6475631690459753,1,Logistic,1
2022-04-18,0,0.6858060865766524,1,Logistic,1
2022-04-19,1,0.6727503893705726,1,Logistic,1
2022-04-20,1,0.6088723763481084,1,Logistic,1
2022-04-21,0,0.5400972201015365,1,Logistic,1
2022-04-22,0,0.5618535113299267,1,Logistic,1
2022-04-25,0,0.5883660052825934,1,Logistic,1
2022-04-26,0,0.5727171925067635,1,Logistic,1
2022-04-27,0,0.5453787275472307,1,Logistic,1
2022-04-28,0,0.49743833174000707,0,Logistic,1
2022-04-29,0,0.5273084747238814,1,Logistic,1
2022-05-02,0,0.5651193443207573,1,Logistic,1
2022-05-04,1,0.567525086755597,1,Logistic,1
2022-05-05,0,0.5045802358880419,1,Logistic,1
2022-05-06,0,0.5299736492484949,1,Logistic,1
2022-05-09,0,0.5842412174225465,1,Logistic,1
2022-05-10,0,0.502688808640864,1,Logistic,1
2022-05-11,0,0.5322963096869875,1,Logistic,1
2022-05-12,0,0.5893050346390551,1,Logistic,1
2022-05-13,0,0.4987784237852027,0,Logistic,1
2022-05-16,1,0.5296063358511498,1,Logistic,1
2022-05-17,0,0.6246433059529645,1,Logistic,1
2022-05-18,0,0.5487568912592717,1,Logistic,1
2022-05-19,1,0.6411853075161313,1,Logistic,1
2022-05-20,1,0.5424753055187603,1,Logistic,1
2022-05-23,0,0.5722349285216772,1,Logistic,1
2022-05-24,0,0.5219351724133797,1,Logistic,1
2022-05-25,1,0.5605906630203685,1,Logistic,1
2022-05-26,1,0.5050865382346953,1,Logistic,1
2022-05-27,1,0.46171056722749637,0,Logistic,1
2022-05-30,0,0.4737999590734712,0,Logistic,1
2022-05-31,0,0.449834909812337,0,Logistic,1
2022-06-01,1,0.47599165232115115,0,Logistic,1
2022-06-02,0,0.5196634553002075,1,Logistic,1
2022-06-03,0,0.4464822229969747,0,Logistic,1
2022-06-06,0,0.5190609169231036,1,Logistic,1
2022-06-07,1,0.5153475811826087,1,Logistic,1
2022-06-08,0,0.5002994286311656,1,Logistic,1
2022-06-09,0,0.5023632527770152,1,Logistic,1
2022-06-10,0,0.47159331679727945,0,Logistic,1
2022-06-13,0,0.5193539457588926,1,Logistic,1
2022-06-14,0,0.51539208487196,1,Logistic,1
2022-01-18,0,0.5150681734085083,1,XGBoost,1
2022-01-19,0,0.4490276873111725,0,XGBoost,1
2022-01-20,0,0.3241111934185028,0,XGBoost,1
2022-01-21,0,0.5048952698707581,1,XGBoost,1
2022-01-24,0,0.4982791841030121,0,XGBoost,1
2022-01-25,0,0.535144567489624,1,XGBoost,1
2022-01-27,1,0.593419075012207,1,XGBoost,1
2022-01-28,1,0.3961847424507141,0,XGBoost,1
2022-01-31,1,0.21553455293178558,0,XGBoost,1
2022-02-01,1,0.3889051675796509,0,XGBoost,1
2022-02-02,0,0.2904672622680664,0,XGBoost,1
2022-02-03,0,0.1837930977344513,0,XGBoost,1
2022-02-04,0,0.15868407487869263,0,XGBoost,1
2022-02-07,0,0.216086283326149,0,XGBoost,1
2022-02-08,0,0.21398396790027618,0,XGBoost,1
2022-02-09,0,0.2618122696876526,0,XGBoost,1
2022-02-10,0,0.23200254142284393,0,XGBoost,1
2022-02-11,1,0.3275207579135895,0,XGBoost,1
2022-02-14,1,0.4271720349788666,0,XGBoost,1
2022-02-15,0,0.4959249496459961,0,XGBoost,1
2022-02-16,0,0.27771320939064026,0,XGBoost,1
2022-02-17,0,0.28519272804260254,0,XGBoost,1
2022-02-18,0,0.5098234415054321,1,XGBoost,1
2022-02-21,0,0.4847874045372009,0,XGBoost,1
2022-02-22,0,0.5856831669807434,1,XGBoost,1
2022-02-23,0,0.4503052532672882,0,XGBoost,1
2022-02-24,1,0.34234619140625,0,XGBoost,1
2022-02-25,0,0.18179984390735626,0,XGBoost,1
2022-02-28,0,0.24463944137096405,0,XGBoost,1
2022-03-02,0,0.10814748704433441,0,XGBoost,1
2022-03-03,0,0.08636477589607239,0,XGBoost,1
2022-03-04,0,0.13292357325553894,0,XGBoost,1
2022-03-07,1,0.19171816110610962,0,XGBoost,1
2022-03-08,0,0.14640213549137115,0,XGBoost,1
2022-03-09,0,0.10335386544466019,0,XGBoost,1
2022-03-10,0,0.11272625625133514,0,XGBoost,1
2022-03-11,1,0.09707587212324142,0,XGBoost,1
2022-03-14,0,0.13391098380088806,0,XGBoost,1
2022-03-15,1,0.2010657787322998,0,XGBoost,1
2022-03-16,0,0.1004922166466713,0,XGBoost,1
2022-03-17,0,0.08140335232019424,0,XGBoost,1
2022-03-21,1,0.10515809059143066,0,XGBoost,1
2022-03-22,0,0.0779578760266304,0,XGBoost,1
2022-03-23,1,0.10514499247074127,0,XGBoost,1
2022-03-24,0,0.14275753498077393,0,XGBoost,1
2022-03-25,0,0.11347343027591705,0,XGBoost,1
2022-03-28,0,0.25871211290359497,0,XGBoost,1
2022-03-29,1,0.3202495276927948,0,XGBoost,1
2022-03-30,0,0.3691355884075165,0,XGBoost,1
2022-03-31,0,0.29593929648399353,0,XGBoost,1
2022-04-01,0,0.434959352016449,0,XGBoost,1
2022-04-04,1,0.3982188105583191,0,XGBoost,1
2022-04-05,0,0.3103169798851013,0,XGBoost,1
2022-04-06,0,0.3182934522628784,0,XGBoost,1
2022-04-07,0,0.2898412346839905,0,XGBoost,1
2022-04-08,0,0.2580726742744446,0,XGBoost,1
2022-04-11,0,0.2447647899389267,0,XGBoost,1
2022-04-12,0,0.31265684962272644,0,XGBoost,1
2022-04-13,0,0.3118543326854706,0,XGBoost,1
2022-04-18,0,0.4577779471874237,0,XGBoost,1
2022-04-19,1,0.5327275991439819,1,XGBoost,1
2022-04-20,1,0.49613893032073975,0,XGBoost,1
2022-04-21,0,0.28422287106513977,0,XGBoost,1
2022-04-22,0,0.28628021478652954,0,XGBoost,1
2022-04-25,0,0.214180126786232,0,XGBoost,1
2022-04-26,0,0.2585630714893341,0,XGBoost,1
2022-04-27,0,0.3321523666381836,0,XGBoost,1
2022-04-28,0,0.19473694264888763,0,XGBoost,1
2022-04-29,0,0.2348816990852356,0,XGBoost,1
2022-05-02,0,0.4705578684806824,0,XGBoost,1
2022-05-04,1,0.333469420671463,0,XGBoost,1
2022-05-05,0,0.38845813274383545,0,XGBoost,1
2022-05-06,0,0.30631008744239807,0,XGBoost,1
2022-05-09,0,0.5044953227043152,1,XGBoost,1
2022-05-10,0,0.3778884708881378,0,XGBoost,1
2022-05-11,0,0.25462111830711365,0,XGBoost,1
2022-05-12,0,0.49018922448158264,0,XGBoost,1
2022-05-13,0,0.3068421483039856,0,XGBoost,1
2022-05-16,1,0.3800749182701111,0,XGBoost,1
2022-05-17,0,0.45998188853263855,0,XGBoost,1
2022-05-18,0,0.3213825225830078,0,XGBoost,1
2022-05-19,1,0.43274688720703125,0,XGBoost,1
2022-05-20,1,0.3054312467575073,0,XGBoost,1
2022-05-23,0,0.4391562342643738,0,XGBoost,1
2022-05-24,0,0.28138116002082825,0,XGBoost,1
2022-05-25,1,0.3634340763092041,0,XGBoost,1
2022-05-26,1,0.22088228166103363,0,XGBoost,1
2022-05-27,1,0.18787001073360443,0,XGBoost,1
2022-05-30,0,0.17196480929851532,0,XGBoost,1
2022-05-31,0,0.17714020609855652,0,XGBoost,1
2022-06-01,1,0.09773661196231842,0,XGBoost,1
2022-06-02,0,0.14838552474975586,0,XGBoost,1
2022-06-03,0,0.06622247397899628,0,XGBoost,1
2022-06-06,0,0.15112507343292236,0,XGBoost,1
2022-06-07,1,0.10181565582752228,0,XGBoost,1
2022-06-08,0,0.11273718625307083,0,XGBoost,1
2022-06-09,0,0.14929473400115967,0,XGBoost,1
2022-06-10,0,0.10770093649625778,0,XGBoost,1
2022-06-13,0,0.3206680417060852,0,XGBoost,1
2022-06-14,0,0.30982470512390137,0,XGBoost,1
2022-06-15,0,0.38576060467801176,0,Logistic,2
2022-06-16,0,0.4906367767423055,0,Logistic,2
2022-06-17,0,0.5392383649823789,1,Logistic,2
2022-06-20,1,0.502988469182343,1,Logistic,2
2022-06-21,0,0.4798227742209409,0,Logistic,2
2022-06-22,1,0.4861158588728404,0,Logistic,2
2022-06-23,0,0.4944877065355888,0,Logistic,2
2022-06-24,0,0.49342831391346886,0,Logistic,2
2022-06-27,0,0.5094183113204697,1,Logistic,2
2022-06-28,0,0.49468078329419624,0,Logistic,2
2022-06-29,0,0.5248737664967716,1,Logistic,2
2022-06-30,1,0.5174660077481897,1,Logistic,2
2022-07-01,0,0.5104221610425996,1,Logistic,2
2022-07-04,0,0.5365280024959551,1,Logistic,2
2022-07-05,1,0.49203858786386023,0,Logistic,2
2022-07-06,0,0.46948450146448484,0,Logistic,2
2022-07-07,0,0.42517511634147165,0,Logistic,2
2022-07-08,0,0.44337245929782293,0,Logistic,2
2022-07-11,0,0.6249467193811283,1,Logistic,2
2022-07-12,0,0.5556990201560736,1,Logistic,2
2022-07-13,0,0.5566689941394793,1,Logistic,2
2022-07-14,0,0.5978679193387487,1,Logistic,2
2022-07-15,1,0.5900133260946633,1,Logistic,2
2022-07-18,0,0.5612753367255302,1,Logistic,2
2022-07-19,1,0.5693995028923773,1,Logistic,2
2022-07-20,0,0.5174396568694127,1,Logistic,2
2022-07-21,0,0.5123283945886881,1,Logistic,2
2022-07-22,0,0.5317359696599114,1,Logistic,2
2022-07-25,0,0.5081978446786517,1,Logistic,2
2022-07-26,1,0.5616811293450785,1,Logistic,2
2022-07-27,1,0.48486040194838087,0,Logistic,2
2022-07-28,1,0.42441418551192645,0,Logistic,2
2022-07-29,0,0.3963934129684026,0,Logistic,2
2022-08-01,0,0.43084021065771416,0,Logistic,2
2022-08-02,1,0.45551724536636795,0,Logistic,2
2022-08-03,0,0.42690102009837716,0,Logistic,2
2022-08-04,0,0.40625038734194047,0,Logistic,2
2022-08-05,0,0.35836716699879295,0,Logistic,2
2022-08-08,0,0.4618042305611227,0,Logistic,2
2022-08-10,1,0.5117532153015726,1,Logistic,2
2022-08-11,0,0.4542261690883891,0,Logistic,2
2022-08-12,0,0.43857488105155207,0,Logistic,2
2022-08-16,0,0.43590093229618915,0,Logistic,2
2022-08-17,0,0.4658748530029437,0,Logistic,2
2022-08-18,0,0.4713532158083684,0,Logistic,2
2022-08-19,0,0.4579602153270084,0,Logistic,2
2022-08-22,0,0.47306031907836094,0,Logistic,2
2022-08-23,0,0.5248946763478557,1,Logistic,2
2022-08-24,0,0.5187982436695101,1,Logistic,2
2022-08-25,0,0.5427090288293673,1,Logistic,2
2022-08-26,0,0.504517390185771,1,Logistic,2
2022-08-29,1,0.5887992443332867,1,Logistic,2
2022-08-30,0,0.5422619490897483,1,Logistic,2
2022-09-01,0,0.5586896235989659,1,Logistic,2
2022-09-02,0,0.5240666029050344,1,Logistic,2
2022-09-05,0,0.5236358423148922,1,Logistic,2
2022-09-06,1,0.5414563292306843,1,Logistic,2
2022-09-07,0,0.5158901825702453,1,Logistic,2
2022-09-08,1,0.4571575043333711,0,Logistic,2
2022-09-09,1,0.4553533994480437,0,Logistic,2
2022-09-12,0,0.4408897139176892,0,Logistic,2
2022-09-13,0,0.4466430674331893,0,Logistic,2
2022-09-14,0,0.47814316041233923,0,Logistic,2
2022-09-15,0,0.470993025627498,0,Logistic,2
2022-09-16,0,0.5609664848541633,1,Logistic,2
2022-09-19,0,0.48255377856546755,0,Logistic,2
2022-09-20,0,0.46968164710601695,0,Logistic,2
2022-09-21,0,0.49992853847938595,0,Logistic,2
2022-09-22,0,0.49861153368043015,0,Logistic,2
2022-09-23,0,0.5024626362291248,1,Logistic,2
2022-09-26,0,0.5282108041248601,1,Logistic,2
2022-09-27,0,0.4891395854696819,0,Logistic,2
2022-09-28,0,0.5570106616593111,1,Logistic,2
2022-09-29,0,0.568033479949482,1,Logistic,2
2022-09-30,0,0.5858030022690092,1,Logistic,2
2022-10-03,1,0.5678008481314374,1,Logistic,2
2022-10-04,0,0.4913995526122927,0,Logistic,2
2022-10-06,0,0.45491256606393704,0,Logistic,2
2022-10-07,1,0.4845347503807869,0,Logistic,2
2022-10-10,0,0.536194136575362,1,Logistic,2
2022-10-11,1,0.5429550065008455,1,Logistic,2
2022-10-12,0,0.4520331810120942,0,Logistic,2
2022-10-13,0,0.4965045670218365,0,Logistic,2
2022-10-14,0,0.5377015438366686,1,Logistic,2
2022-10-17,1,0.5584053348217405,1,Logistic,2
2022-10-18,0,0.527645764271504,1,Logistic,2
2022-10-19,1,0.5184136374561807,1,Logistic,2
2022-10-20,0,0.5277630783978898,1,Logistic,2
2022-10-21,1,0.5164215840333344,1,Logistic,2
2022-10-24,0,0.46777684126673813,0,Logistic,2
2022-10-25,0,0.4831879960759582,0,Logistic,2
2022-10-27,0,0.518983415528316,1,Logistic,2
2022-10-28,1,0.5087569784797703,1,Logistic,2
2022-10-31,1,0.4987642311042387,0,Logistic,2
2022-11-01,0,0.4907281608373501,0,Logistic,2
2022-11-02,0,0.5071710682036183,1,Logistic,2
2022-11-03,0,0.5624098380150739,1,Logistic,2
2022-11-04,1,0.5595650628547919,1,Logistic,2
2022-11-07,0,0.5528202072125667,1,Logistic,2
2022-11-09,0,0.5386055081279314,1,Logistic,2
2022-06-15,0,0.24991020560264587,0,XGBoost,2
2022-06-16,0,0.22918851673603058,0,XGBoost,2
2022-06-17,0,0.424653023481369,0,XGBoost,2
2022-06-20,1,0.3092840611934662,0,XGBoost,2
2022-06-21,0,0.4578465521335602,0,XGBoost,2
2022-06-22,1,0.3747180700302124,0,XGBoost,2
2022-06-23,0,0.23335972428321838,0,XGBoost,2
2022-06-24,0,0.20556499063968658,0,XGBoost,2
2022-06-27,0,0.1579287350177765,0,XGBoost,2
2022-06-28,0,0.25531378388404846,0,XGBoost,2
2022-06-29,0,0.17754901945590973,0,XGBoost,2
2022-06-30,1,0.223662331700325,0,XGBoost,2
2022-07-01,0,0.3096296191215515,0,XGBoost,2
2022-07-04,0,0.334164023399353,0,XGBoost,2
2022-07-05,1,0.21292175352573395,0,XGBoost,2
2022-07-06,0,0.2226182371377945,0,XGBoost,2
2022-07-07,0,0.13356076180934906,0,XGBoost,2
2022-07-08,0,0.1510670781135559,0,XGBoost,2
2022-07-11,0,0.5158169269561768,1,XGBoost,2
2022-07-12,0,0.5011827945709229,1,XGBoost,2
2022-07-13,0,0.5655867457389832,1,XGBoost,2
2022-07-14,0,0.5314592719078064,1,XGBoost,2
2022-07-15,1,0.5737898349761963,1,XGBoost,2
2022-07-18,0,0.47649118304252625,0,XGBoost,2
2022-07-19,1,0.3857232630252838,0,XGBoost,2
2022-07-20,0,0.22932884097099304,0,XGBoost,2
2022-07-21,0,0.24362865090370178,0,XGBoost,2
2022-07-22,0,0.2084769904613495,0,XGBoost,2
2022-07-25,0,0.23203065991401672,0,XGBoost,2
2022-07-26,1,0.31596460938453674,0,XGBoost,2
2022-07-27,1,0.2515896260738373,0,XGBoost,2
2022-07-28,1,0.14578837156295776,0,XGBoost,2
2022-07-29,0,0.1084665060043335,0,XGBoost,2
2022-08-01,0,0.11700122803449631,0,XGBoost,2
2022-08-02,1,0.15597869455814362,0,XGBoost,2
2022-08-03,0,0.13353781402111053,0,XGBoost,2
2022-08-04,0,0.10303396731615067,0,XGBoost,2
2022-08-05,0,0.2224334329366684,0,XGBoost,2
2022-08-08,0,0.3387781083583832,0,XGBoost,2
2022-08-10,1,0.17174406349658966,0,XGBoost,2
2022-08-11,0,0.30386462807655334,0,XGBoost,2
2022-08-12,0,0.2786320745944977,0,XGBoost,2
2022-08-16,0,0.2807512879371643,0,XGBoost,2
2022-08-17,0,0.3662385940551758,0,XGBoost,2
2022-08-18,0,0.330257773399353,0,XGBoost,2
2022-08-19,0,0.3156622648239136,0,XGBoost,2
2022-08-22,0,0.31301361322402954,0,XGBoost,2
2022-08-23,0,0.18399061262607574,0,XGBoost,2
2022-08-24,0,0.14016449451446533,0,XGBoost,2
2022-08-25,0,0.16496939957141876,0,XGBoost,2
2022-08-26,0,0.3258044719696045,0,XGBoost,2
2022-08-29,1,0.29303279519081116,0,XGBoost,2
2022-08-30,0,0.20058630406856537,0,XGBoost,2
2022-09-01,0,0.3935357332229614,0,XGBoost,2
2022-09-02,0,0.3529740869998932,0,XGBoost,2
2022-09-05,0,0.35082507133483887,0,XGBoost,2
2022-09-06,1,0.3978867530822754,0,XGBoost,2
2022-09-07,0,0.23751284182071686,0,XGBoost,2
2022-09-08,1,0.21143260598182678,0,XGBoost,2
2022-09-09,1,0.28793299198150635,0,XGBoost,2
2022-09-12,0,0.1950950175523758,0,XGBoost,2
2022-09-13,0,0.2231079638004303,0,XGBoost,2
2022-09-14,0,0.39003118872642517,0,XGBoost,2
2022-09-15,0,0.36855629086494446,0,XGBoost,2
2022-09-16,0,0.5491346716880798,1,XGBoost,2
2022-09-19,0,0.35381028056144714,0,XGBoost,2
2022-09-20,0,0.4362044632434845,0,XGBoost,2
2022-09-21,0,0.29809314012527466,0,XGBoost,2
2022-09-22,0,0.302568644285202,0,XGBoost,2
2022-09-23,0,0.35195624828338623,0,XGBoost,2
2022-09-26,0,0.3716879189014435,0,XGBoost,2
2022-09-27,0,0.266254723072052,0,XGBoost,2
2022-09-28,0,0.4497016668319702,0,XGBoost,2
2022-09-29,0,0.43873050808906555,0,XGBoost,2
2022-09-30,0,0.5122452974319458,1,XGBoost,2
2022-10-03,1,0.39435234665870667,0,XGBoost,2
2022-10-04,0,0.2811577618122101,0,XGBoost,2
2022-10-06,0,0.18488404154777527,0,XGBoost,2
2022-10-07,1,0.15687407553195953,0,XGBoost,2
2022-10-10,0,0.3250526487827301,0,XGBoost,2
2022-10-11,1,0.47412413358688354,0,XGBoost,2
2022-10-12,0,0.4100586771965027,0,XGBoost,2
2022-10-13,0,0.33756735920906067,0,XGBoost,2
