Window,Train_Size,Test_Size,Train_Start,Train_End,Test_Start,Test_End,Train_Target_Rate,Test_Target_Rate,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC
1,800,100,2019-01-18,2022-04-18,2022-04-19,2022-09-09,0.4825,0.33,0.49,0.596336499321574,0.38461538461538464,0.9090909090909091,0.5405405405405406,0.6585255540479421
2,900,100,2019-01-18,2022-09-09,2022-09-12,2023-02-02,0.46555555555555556,0.72,0.59,0.6825396825396826,0.918918918918919,0.4722222222222222,0.6238532110091743,0.7390873015873016
3,1000,100,2019-01-18,2023-02-02,2023-02-03,2023-07-03,0.491,0.36,0.62,0.703125,0.4864864864864865,1.0,0.6545454545454545,0.8151041666666667
4,1100,100,2019-01-18,2023-07-03,2023-07-04,2023-11-28,0.47909090909090907,0.46,0.51,0.5269726247987118,0.4788732394366197,0.7391304347826086,0.5811965811965812,0.7262479871175523
5,1200,100,2019-01-18,2023-11-28,2023-11-29,2024-04-26,0.4775,0.5,0.59,0.59,1.0,0.18,0.3050847457627119,0.5768
6,1300,100,2019-01-18,2024-04-26,2024-04-29,2024-09-20,0.47923076923076924,0.4,0.6,0.5083333333333333,0.5,0.05,0.09090909090909091,0.46875
7,1400,100,2019-01-18,2024-09-20,2024-09-23,2025-02-12,0.4735714285714286,0.32,0.41,0.359375,0.17073170731707318,0.21875,0.1917808219178082,0.43014705882352944
8,1500,100,2019-01-18,2025-02-12,2025-02-13,2025-07-14,0.4633333333333333,0.32,0.31,0.484375,0.31313131313131315,0.96875,0.4732824427480916,0.38878676470588236
9,1600,100,2019-01-18,2025-07-14,2025-07-15,2025-12-08,0.454375,0.55,0.59,0.5444444444444444,0.5729166666666666,1.0,0.7284768211920529,0.6852525252525251
10,1700,100,2019-01-18,2025-12-08,2025-12-09,2026-05-08,0.46,0.16,0.31,0.5892857142857143,0.18823529411764706,1.0,0.31683168316831684,0.6666666666666666
11,1800,53,2019-01-18,2026-05-08,2026-05-11,2026-07-24,0.44333333333333336,0.4339622641509434,0.5094339622641509,0.45,0.0,0.0,0.0,0.3898550724637681
