Model,Fold,Train_Rows,Test_Rows,Train_Start,Train_End,Test_Start,Test_End,Features_Used,Train_Positive_Rate,Test_Positive_Rate,AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Predicted_Positive_Rate
Logistic,1,1000,100,2019-01-18,2023-02-02,2023-02-03,2023-07-03,19,0.568,0.48,0.7199519230769231,0.62,0.6121794871794872,0.6666666666666666,0.4166666666666667,0.5128205128205128,0.3
Logistic,2,1000,100,2019-06-20,2023-07-03,2023-07-04,2023-11-28,19,0.552,0.59,0.5609756097560975,0.54,0.5022736668044646,0.5915492957746479,0.711864406779661,0.6461538461538462,0.71
Logistic,3,1000,100,2019-11-19,2023-11-28,2023-11-29,2024-04-26,19,0.575,0.55,0.7111111111111111,0.56,0.6,1.0,0.2,0.3333333333333333,0.11
Logistic,4,1000,100,2020-04-16,2024-04-26,2024-04-29,2024-09-20,20,0.583,0.51,0.5534213685474189,0.53,0.5260104041616647,0.5285714285714286,0.7254901960784313,0.6115702479338843,0.7
Logistic,5,1000,100,2020-09-07,2024-09-20,2024-09-23,2025-02-12,20,0.564,0.38,0.46604414261460103,0.6,0.5959252971137521,0.4782608695652174,0.5789473684210527,0.5238095238095238,0.46
Logistic,6,1000,100,2021-01-29,2025-02-12,2025-02-13,2025-07-14,20,0.53,0.41,0.5014468788755684,0.52,0.548573790822654,0.4461538461538462,0.7073170731707317,0.5471698113207547,0.65
Logistic,7,1000,100,2021-06-28,2025-07-14,2025-07-15,2025-12-08,20,0.509,0.66,0.45989304812834225,0.61,0.4763814616755793,0.6483516483516484,0.8939393939393939,0.7515923566878981,0.91
Logistic,8,1000,100,2021-11-23,2025-12-08,2025-12-09,2026-05-08,20,0.525,0.21,0.6763110307414105,0.22,0.5063291139240507,0.21212121212121213,1.0,0.35,0.99
XGBoost,1,1000,100,2019-01-18,2023-02-02,2023-02-03,2023-07-03,19,0.568,0.48,0.7702323717948718,0.67,0.6786858974358975,0.6056338028169014,0.8958333333333334,0.7226890756302521,0.71
XGBoost,2,1000,100,2019-06-20,2023-07-03,2023-07-04,2023-11-28,19,0.552,0.59,0.42868954113269947,0.41,0.43675072343943777,0.5,0.288135593220339,0.3655913978494624,0.34
XGBoost,3,1000,100,2019-11-19,2023-11-28,2023-11-29,2024-04-26,19,0.575,0.55,0.3701010101010101,0.54,0.5717171717171716,0.7368421052631579,0.2545454545454545,0.3783783783783784,0.19
XGBoost,4,1000,100,2020-04-16,2024-04-26,2024-04-29,2024-09-20,20,0.583,0.51,0.4665866346538616,0.55,0.5572228891556623,0.7142857142857143,0.19607843137254902,0.3076923076923077,0.14
XGBoost,5,1000,100,2020-09-07,2024-09-20,2024-09-23,2025-02-12,20,0.564,0.38,0.6169354838709677,0.52,0.5568760611205432,0.421875,0.7105263157894737,0.5294117647058824,0.64
XGBoost,6,1000,100,2021-01-29,2025-02-12,2025-02-13,2025-07-14,20,0.53,0.41,0.4940057875155023,0.55,0.5442331541959488,0.45652173913043476,0.5121951219512195,0.4827586206896552,0.46
XGBoost,7,1000,100,2021-06-28,2025-07-14,2025-07-15,2025-12-08,20,0.509,0.66,0.6027183600713012,0.66,0.5,0.66,1.0,0.7951807228915663,1.0
XGBoost,8,1000,100,2021-11-23,2025-12-08,2025-12-09,2026-05-08,20,0.525,0.21,0.6678722121760097,0.24,0.5189873417721519,0.21649484536082475,1.0,0.3559322033898305,0.97
